Left context,Center,Right context,Created,Sphere,Type,Full context
голове у девочки был берет «, а-ля ,Че Гевара» ядовито-зеленого цвета.  ,2004,художественная,повесть,На голове у девочки был берет « а-ля Че Гевара» ядовито-зеленого цвета.   [Елена Хаецкая. Синие стрекозы Вавилона/ Человек по имени Беда (2004)] [омонимия не снята]
"или алебарды, а затем принимается", а-ля ,Жан Маре скакать по столам и ,2003,"нехудожественная, публицистика",интервью,"Говорили, что он приводит противника в свою лабораторию, предлагает на выбор рапиры, шпаги или алебарды, а затем принимается а-ля Жан Маре скакать по столам и опрокидывать шкафы. [Лариса Малюкова. Разговор поэтов о киноторговле // «Искусство кино», 2003.06.30] [омонимия не снята]"
время матрикаты изготавливаются методом биостереографии, а-ля ,Ришар Сэгюр.  ,2003,"нехудожественная, публицистика",интервью,"В наше время матрикаты изготавливаются методом биостереографии а-ля Ришар Сэгюр.   [Лариса Малюкова. Разговор поэтов о киноторговле // «Искусство кино», 2003.06.30] [омонимия не снята]"
"бы что, что такие эпизоды", а-ля ,Скотт Фицджералд ― в природе их семейной ,1997,художественная,роман,"Муж делал вид, что ему хоть бы что, что такие эпизоды а-ля Скотт Фицджералд ― в природе их семейной жизни, хотя все знали, что жену, которую отбил у физика- атомщика, восходящей звезды, выездного, уже лауреата и так далее, с душераздиранием всех сторон, дракой и резанием вен, он боготворит, раболепствует перед ней, готов стоять, и иногда от нежности становится, на колени, а она не только [Василий Аксенов. Новый сладостный стиль (1997)] [омонимия не снята]"
"Сорочка тоже подгуляла, фасончик", а-ля ,младший научный сотрудник.,2000,"нехудожественная, публицистика",мемуары,"Сорочка тоже подгуляла, фасончик а-ля младший научный сотрудник. [А. С. Демидова. Бегущая строка памяти (2000)] [омонимия не снята]"
вырастет огромный и роскошный комплекс, а-ля ,барокко.,2010,художественная,роман,"В 2010 году на берегу Исети вырастет огромный и роскошный комплекс а-ля барокко. [Борис Евсеев. Евстигней // «Октябрь», 2010] [омонимия не снята]"
"себе все, используя разрекламированные шампуни", а-ля ,ХедЭндШолдерс.  ,2009,художественная,роман,"К сожалению, это весьма частое явление, и некоторые люди вместо того, чтобы лечить, портят себе все, используя разрекламированные шампуни а-ля ХедЭндШолдерс.   [Александр Иличевский. Перс (2009)] [омонимия не снята]"
тех кто кидается на рекламу., а-ля ,ХедЭндШолдерс Нам тоже ее посоветовали и ,2009,художественная,роман,"Я и моя семья поверти не из тех кто кидается на рекламу. а-ля ХедЭндШолдерс Нам тоже ее посоветовали и если эта шампунь купленная в Швеции или еще в каких то EU странах, то я доверяю))) У моей дочери тоже была очень сухая голова, а когда начинала чeсать, то выглядела как перхоть. [Александр Иличевский. Перс (2009)] [омонимия не снята]"
еще на рынке увидеть ― такие, а-ля ,"карандаши, но там подделка на подделки ",2009,художественная,роман,"Можно еще на рынке увидеть ― такие а-ля карандаши, но там подделка на подделки и подделкой погоняет.   [Александр Иличевский. Перс (2009)] [омонимия не снята]"
Свинина, а-ля ,Григ!» ,2005,художественная,роман,"Свинина а-ля Григ!»  [Андрей Рубанов. Сажайте, и вырастет (2005)] [омонимия не снята]"
Там половые в кафтанах «, а-ля ,рюс» подали дорогим гостям квас и ,1964,художественная,роман,"Там половые в кафтанах « а-ля рюс» подали дорогим гостям квас и кулебяку.   [Аркадий Стругацкий, Борис Стругацкий. Понедельник начинается в субботу (1964)] [омонимия не снята]"
ребята все или в костюмах, а-ля ,"начальник, или я ― такой крутой дайвер ",2002,художественная,повесть,"А ребята все или в костюмах а-ля начальник, или я ― такой крутой дайвер с акулой в руках, или в окружении баб. [Дарья Симонова. Шанкр (2002)] [омонимия не снята]"
Владимир Путин заключили свой пакт, а-ля ,"Молотов- Риббентроп о разделе сфер влияния, ",1963-1965,художественная,повесть,"Начало процессу положил либеральный россиянин С. Н. Юшенков, согласно мнению которого « была опасность, что Джордж Буш и Владимир Путин заключили свой пакт а-ля Молотов- Риббентроп о разделе сфер влияния, где США отдаётся Ирак, а России― Грузия», однако из выступления Дж. Буша в защиту Грузии от российского давления « стало ясно, что это не так».   [З. И. Воскресенская. Сердце матери (1963-1965)] [омонимия не снята]"
"ухоженных белокурых локонах, в матроске", а-ля ,"невинно убиенный цесаревич сидит, подобрав под ",2008,"нехудожественная, электронная коммуникация",форум,"Кресло явно было ему велико; Малянову вечно представлялось, как Глухов, такой же маленький, как теперь, но розовый и невинный, яко ангелок, весь в аккуратных и ухоженных белокурых локонах, в матроске а-ля невинно убиенный цесаревич сидит, подобрав под себя ножки, в этом самом кресле и запоем читает в подлиннике « Повесть о Гэндзи» ― а в соседней комнате папа, потрясая газетой, с первой страницы которой тяжело [коллективный. Форум: Железный Человек, Iron Man (2008)] [омонимия не снята]"
, а-ля ,Атос сказал Глухов сокрушенно и добавил ,2008,"нехудожественная, электронная коммуникация",форум,"а-ля Атос сказал Глухов сокрушенно и добавил уже совершенно по-нашему: ― Две!    [коллективный. Форум: Железный Человек, Iron Man (2008)] [омонимия не снята]"
Я с детства привык к «, а-ля ,"фуршет» ― пить чай стоя, ― пошутил доктор, ",2013,"нехудожественная, электронная коммуникация",форум,"Я с детства привык к « а-ля фуршет» ― пить чай стоя, ― пошутил доктор, искоса посмотрел на визитную карточку, перевел взгляд на фетровую шляпу Григория Степановича. [коллективный. Форум: Отдых в Болгарии, отзывы (2013)] [омонимия не снята]"
почему вы привыкли пить чай «, а-ля ,"фуршет», ― засмеялась она.  ",2013,"нехудожественная, электронная коммуникация",форум,"Теперь я понимаю, почему вы привыкли пить чай « а-ля фуршет», ― засмеялась она.   [коллективный. Форум: Отдых в Болгарии, отзывы (2013)] [омонимия не снята]"
решено было подать лёгкий завтрак, а-ля ,фуршет.  ,2003,"нехудожественная, публицистика",статья,"Для подношения чека было назначено торжественное заседание, после которого решено было подать лёгкий завтрак а-ля фуршет.   [Валерий Сердюченко. Солженицын: непреклонный пророк // Интернет-альманах «Лебедь», 2003.12.21] [омонимия не снята]"
"на Украине, и делаем фильмы", а-ля ,Дисней? ,1965,"нехудожественная, публицистика","предисловие, послесловие","И у меня есть каверзный вопрос: для чего мы с упорством, достойным лучшего применения, пытаемся спасти « задних», как говорят на Украине, и делаем фильмы а-ля Дисней?  [Р. М. Беньяш. В гриме и без грима (1965)] [омонимия не снята]"
на мировой рынок с очередным «, а-ля ,значит брести в толпе.,1965,"нехудожественная, публицистика","предисловие, послесловие",Но выходить на мировой рынок с очередным « а-ля» ― значит брести в толпе. [Р. М. Беньяш. В гриме и без грима (1965)] [омонимия не снята]
"мордами доберман-пинчеров, Гагарина в виде", а-ля ,"рюссного сладенького отрока, одинаковые страдальческие глаза ",2004,"нехудожественная, электронная коммуникация",форум,"Но когда Маша увидела убиенного царевича с так плохо нарисованным разрезанным горлом, что ее знание судебной медицины возмущенно восстало, богатырей- истуканов с тупыми ряшками комсомольских дружинников- каратистов в роли спасителей Отечества, опереточных королей с холеными мордами доберман-пинчеров, Гагарина в виде а-ля-рюссного сладенького отрока, одинаковые страдальческие глаза Алеши Карамазова и Джины Лоллобриджиды, сработанные на одном и том же конвейере, китчевое меню знаменитостей двадцатого [Красота, здоровье, отдых: Косметика и парфюм (форум) (2004)] [омонимия не снята]"
Стол был накрыт, а-ля ,"фуршет, как тогда не водилось, и ",2004,"нехудожественная, электронная коммуникация",форум,"Стол был накрыт а-ля фуршет, как тогда не водилось, и несмотря на то что виктрола наигрывала танго и фокстроты, никто не танцевал, и немногие гости напряженно жались по стенам с тарелками, на которых почти нетронуто лежали фаршированные куриные гребешки, гурийская капуста и сациви без косточек, доставленные прямо из « Арагви» под личным наблюдением похожего на пенсионного циркового гиревика великого Лонгиноза Стожадзе.   [Красота, здоровье, отдых: Косметика и парфюм (форум) (2004)] [омонимия не снята]"
на недоеденное золотое крыло фазана «, а-ля ,Романофф» и слушала излияния хозяина.  ,2004,"нехудожественная, электронная коммуникация",форум,"Прислоненная к столу трость положила подбородок набалдашника, усыпанный прыщами бриллиантов, на недоеденное золотое крыло фазана « а-ля Романофф» и слушала излияния хозяина.   [Красота, здоровье, отдых: Косметика и парфюм (форум) (2004)] [омонимия не снята]"
напялить на него лакированные сапожки «, а-ля ,казак» и нарисовать на его ушах ,2004,"нехудожественная, электронная коммуникация",форум,"Слона он, кажется, предполагал выкрасить в лиловый цвет, напялить на него лакированные сапожки « а-ля казак» и нарисовать на его ушах портреты своей жены ― русской эмигрантки родом не то из Перловки, не то из Мытищ. [Красота, здоровье, отдых: Косметика и парфюм (форум) (2004)] [омонимия не снята]"
тетеньки в костюмах с брошками, а-ля ,"Мадлен Олбрайт, увидев туалет с ржавыми ",2001,художественная,роман,"Лизавета до сих пор помнит, как охали и возмущались загорелые седовласые дяденьки в цейсовских очках и тетеньки в костюмах с брошками а-ля Мадлен Олбрайт, увидев туалет с ржавыми потеками.   [Александр Михайлов. Капкан для одинокого волка (2001)] [омонимия не снята]"
"военный аппарат, на базе терпимого (", а-ля ,Франко) или нетерпимого ( а-ля Гитлер) отношения ,1978-1995,"нехудожественная, публицистика",мемуары,"С прямой или косвенной опорой на военный аппарат, на базе терпимого ( а-ля Франко) или нетерпимого ( а-ля Гитлер) отношения к коммунистам, на базе национал- патриотического комплекса идей.   [Михаил Козаков. Актерская книга (1978-1995)] [омонимия не снята]"
"Буттофава, говоривший по-русски на питерский,", а-ля ,"Бродский с Найманом, манер.  ",1943-1949,"нехудожественная, публицистика","дневник, записные книжки","В гостинице первым, кого он встретил, оказался старый друг, кругленький пышноусый русист Джанни Буттофава, говоривший по-русски на питерский, а-ля Бродский с Найманом, манер.   [Василий Катанян. Лоскутное одеяло (1943-1949)] [омонимия не снята]"
"ну, грибочки- то, грузди- то", а-ля ,рюс? ,1943-1949,"нехудожественная, публицистика","дневник, записные книжки","А вот это ты пробовал, ну, грибочки- то, грузди- то а-ля рюс?  [Василий Катанян. Лоскутное одеяло (1943-1949)] [омонимия не снята]"
там прохладноглазого джентльмена с усами, а-ля ,генерал Китченер и с легкими светлыми ,1943-1949,"нехудожественная, публицистика","дневник, записные книжки","Александр бросил дикий взгляд на густую масляную живопись в золоченой раме и нашел там прохладноглазого джентльмена с усами а-ля генерал Китченер и с легкими светлыми волосами, венчающими крутую башку. [Василий Катанян. Лоскутное одеяло (1943-1949)] [омонимия не снята]"
восседал горделивый старик с усами, а-ля ,Вильгельм.,1943-1949,"нехудожественная, публицистика","дневник, записные книжки","Может быть, я сейчас ошибаюсь под влиянием вашего рассказа, Стенли, но в центре восседал горделивый старик с усами а-ля Вильгельм. [Василий Катанян. Лоскутное одеяло (1943-1949)] [омонимия не снята]"
Замечательное, а-ля ,генерал Китченер приобретение с двумя слегка ,1943-1949,"нехудожественная, публицистика","дневник, записные книжки","Замечательное а-ля генерал Китченер приобретение с двумя слегка подкрученными крыльями, всякий раз показывающими противоположные стороны света. [Василий Катанян. Лоскутное одеяло (1943-1949)] [омонимия не снята]"
"ей подстать ― красная мини-юбка, прическа", а-ля ,"тридцатые годы, шнурованные сапоги выше колен.  ",2001,"нехудожественная, публицистика",монография,"Я была ей подстать ― красная мини-юбка, прическа а-ля тридцатые годы, шнурованные сапоги выше колен.   [Александр Яковлев. Омут памяти. Т.2 (2001)] [омонимия не снята]"
Память удерживала только прическу, а-ля ,"Надежда Константиновна, с пучком на затылке.  ",1857-1858,"нехудожественная, публицистика","дневник, записные книжки","Память удерживала только прическу а-ля Надежда Константиновна, с пучком на затылке.   [Т. Г. Шевченко. [Дневник] (1857-1858)] [омонимия не снята]"
Ниточка усов «, а-ля ,Дудаев» была тщательно расчесана.  ,1947-1953,"нехудожественная, публицистика",мемуары,Ниточка усов « а-ля Дудаев» была тщательно расчесана.   [А. А. Игнатьев. Пятьдесят лет в строю. Кн. 5 (1947-1953)] [омонимия не снята]
"заказной восторг, эти приторные фразы", а-ля ,Дюпати и казенные восклицания давно уже ,1922,художественная,роман,"это тысячу раз повторялось каждым путешественником, и этот неизбежный заказной восторг, эти приторные фразы а-ля-Дюпати и казенные восклицания давно уже опротивели и надоели всем до смерти.   [Д. С. Мережковский. Александр Первый (1922)] [омонимия не снята]"
"отношении к частным домам, бельэтаж", а-ля ,"ренессанс, смотрит весело, вроде бонтонного отеля, ",1934-1936,художественная,роман,"Губернаторский дом тоже здание массивное, в отношении к частным домам, бельэтаж а-ля ренессанс, смотрит весело, вроде бонтонного отеля, поддерживаемый массивною галереею аркад, под которыми помещаются лавки с разными благородными товарами, в том числе и с кумысом. [Н. А. Островский. Рожденные бурей (1934-1936)] [омонимия не снята]"
1997 году деревянное бревенчатое здание, а-ля ,"рюс, но без пошлых витиеватостей, красноватое, ",2003,"нехудожественная, публицистика",статья,"Это построенное в 1997 году деревянное бревенчатое здание а-ля рюс, но без пошлых витиеватостей, красноватое, пахнущее деревом, смолой, чаем из самовара, медом, травами, полотенцами. [Лариса Кислинская. Не верь, не бойся, не проси // «Совершенно секретно», 2003.03.02] [омонимия не снята]"
"в синих очках, с бородкою", а-ля ,"Валленштейн, белой, как серебро, Карл Петрович, ",2003,"нехудожественная, публицистика",статья,"Осенью 902 года я стал ежедневным гостем уютной квартирки, наполненной звуками Шумана и Николая Метнера; великолепный, сухо- стройный лысый старик в синих очках, с бородкою а-ля Валленштейн, белой, как серебро, Карл Петрович, зорко внимал нам с милой супругой, урожденной Гедике; а композитор, брат Коля, ― квадратный, кряжистый, невысокий, с редеющими волосами, с лицом молодого Бетховена, с медвежьей неповоротливостью силился передать свою мысль; не находя [Вячеслав Кеворков. Трианон // «Совершенно секретно», 2003.08.09] [омонимия не снята]"
"с белою, как серебро, бородкой", а-ля ,"Валленштейн, вынимая сигару из рта, ― бывало, ",2003,"нехудожественная, публицистика",статья,"Николай Карлович чувствовал ужас к столовому ножу и к яичной скорлупе; ему разрезали мясо и Александра Карловна и сестра Софья; Сабуров и Штембер очищали яйца от скорлупы; Эмилия Карловича сражали задохи; и он капризничал, слушая, как произносят сентенции « Мили» словами « Мили» ― брат Карл, брат Александр, Саша Гедике; великолепный старик, с белою, как серебро, бородкой а-ля Валленштейн, вынимая сигару из рта, ― бывало, старается:    [Вячеслав Кеворков. Трианон // «Совершенно секретно», 2003.08.09] [омонимия не снята]"
"с белою, как серебро, бородкою", а-ля ,"Валленштейн, бывало, с достоинством поправляет синие ",2003,"нехудожественная, публицистика",статья,"Великолепный старик с белою, как серебро, бородкою а-ля Валленштейн, бывало, с достоинством поправляет синие очки:    [Вячеслав Кеворков. Трианон // «Совершенно секретно», 2003.08.09] [омонимия не снята]"
"и высокий, с бородкою острой,", а-ля ,"итальэн, простирал свои хлопоты над процветанием ",2003,"нехудожественная, публицистика",статья,"Тот ― тоже центр: утонченнейше Пашков стриг бороды; рукою белою, нежною, взявши щипцы, ― завивал парики; он, подстриженный и подвитой, в кудерьках бонвивана- художника, в белом жилете, худой и высокий, с бородкою острой, а-ля итальэн, простирал свои хлопоты над процветанием волосяного покрова макушечной и подбородочной части ― у Янжула, у Комарова Мишеля, у К. Д. Бальмонта, меня, Соловьева; весной, разрешенные батюшкой Марковым от окаянства и грехов [Вячеслав Кеворков. Трианон // «Совершенно секретно», 2003.08.09] [омонимия не снята]"
"нуво», перекроившая пиджаки в смокинги «", а-ля ,"Уайльд», а платья ― в шелковые хитоны « ",2003,"нехудожественная, публицистика",статья,"та же « старая Москва», в два- три года перекрасившая свои особняки под цвет « стиль- нуво», перекроившая пиджаки в смокинги « а-ля Уайльд», а платья ― в шелковые хитоны « а-ля Боттичелли».   [Вячеслав Кеворков. Трианон // «Совершенно секретно», 2003.08.09] [омонимия не снята]"
"же, генеральских с собою заигрываний", а-ля ,"Занкевич не терпят, ― как обычно, с ",2004,"нехудожественная, публицистика",статья,"К тому же, генеральских с собою заигрываний а-ля Занкевич не терпят, ― как обычно, с долей пафоса, присущей старым студентам, декларировал Булатников.   [Владимир Ляпоров. Новые имена // «Бизнес-журнал», 2004.01.22] [омонимия не снята]"
помятого шелка или строгие платья, а-ля ,Jackie O. Есть и свитера с ,2003,"нехудожественная, публицистика",статья,"Летящие одежды из искусственно помятого шелка или строгие платья а-ля Jackie O. Есть и свитера с полудрагоценными камнями, юбки и футболки с размытыми узорами, цветастые платья и « гавайские» платки, но все без эффекта too much.   [Пора клубиться! // «Мир & Дом. City», 2003.05.15] [омонимия не снята]"
где мы ели сырой беф-, а-ля ,"татар, запивая холодной водкой.",2003,"нехудожественная, публицистика",статья,"Однажды вечером она затащила нас в ресторан « Интурист», где мы ели сырой беф- а-ля-татар, запивая холодной водкой. [Ольга Егорова. Королева Чардаша // «Спецназ России», 2003.05.15] [омонимия не снята]"
был завит по последней моде ―, а-ля ,Каракалла.,2002,"нехудожественная, публицистика",статья,"Действительно, Матвей Михайлович Сонцев был завит по последней моде ― а-ля Каракалла. [Андрей Гусев. Отдыхай! // «Биржа плюс свой дом» (Н. Новгород), 2002.10.14] [омонимия не снята]"
раз во всем великолепии: прическа, а-ля ,"Дюрок и, несмотря на суровое время, ",2002,"нехудожественная, публицистика",статья,"Василий Львович, быстрый в движениях, всегда готовый к разговору и веселости ― эфемер, ― явился на этот раз во всем великолепии: прическа а-ля Дюрок и, несмотря на суровое время, довольно толстое жабо. [Андрей Гусев. Отдыхай! // «Биржа плюс свой дом» (Н. Новгород), 2002.10.14] [омонимия не снята]"
горячими щипцами завивал ему волосы, а-ля ,"Дюрок, управлял его движениями и делал ",2002,"нехудожественная, публицистика",статья,"Быстро чистил он ногти пилкой и щеточкой, наблюдал, как Никита горячими щипцами завивал ему волосы а-ля Дюрок, управлял его движениями и делал весьма дельные и тонкие замечания. [Андрей Гусев. Отдыхай! // «Биржа плюс свой дом» (Н. Новгород), 2002.10.14] [омонимия не снята]"
его совету ― английские адмиральские и, а-ля ,"тюрк; парики, треуголки ― все предусматривалось заранее ",2002,"нехудожественная, публицистика",статья,"Иогель был модный танцмейстер, он первый в Москве начал по-настоящему учить детей танцам, у него устраивались детские маскарады, родители свозили своих сыновей и дочек к Иогелю; костюмы шились по его совету ― английские адмиральские и а-ля тюрк; парики, треуголки ― все предусматривалось заранее нежными матерями и портными.   [Андрей Гусев. Отдыхай! // «Биржа плюс свой дом» (Н. Новгород), 2002.10.14] [омонимия не снята]"
"волос, то в белом парике", а-ля ,Пугачева.,2003,"нехудожественная, публицистика",статья,"И вот я ― то в черном каре, то с рыжей копной волос, то в белом парике а-ля Пугачева. [Ирина Вакштейн. Не все коту масленица // «100% здоровья», 2003.01.15] [омонимия не снята]"
на диване в длинной юбке, а-ля ,"хиппи, так и пошла на вечер.",2003,"нехудожественная, публицистика",статья,"И вот я, как лежала на диване в длинной юбке а-ля хиппи, так и пошла на вечер. [Ирина Вакштейн. Не все коту масленица // «100% здоровья», 2003.01.15] [омонимия не снята]"
