Left context,Center,Right context,Created,Sphere,Type,Full context
соуча́ствовать вот в ра́дости бытия́, подо́бно ,тому́ а́а в како́й ра́дости пребыва́ет ,2001,"диалог научный, нехудожественная, устная публичная речь",беседа,"И челове́к факти́чески бы́л сотворён для того́/ что́бы соуча́ствовать вот в ра́дости бытия́ подо́бно тому́ а́а в како́й ра́дости пребыва́ет са́м Бо́г. [Христос из Кумрана. Программа ""Гордон"" (НТВ) (2001)] [омонимия не снята]"
или А́лан Ли́лльский/ ве́сь ми́р, подо́бно ,кни́ге слу́жит на́м и карти́ной/ и ,1944-1945,"кино, нехудожественная",кино историческое,"Или/ как пи́шет друго́й замеча́тельный поэ́т того́ же двена́дцатого ве́ка/ А́лан из Ли́лля или А́лан Ли́лльский/ ве́сь ми́р подо́бно кни́ге слу́жит на́м и карти́ной/ и зе́ркалом. [Сергей Эйзенштейн. Иван Грозный, к/ф (1944-1945)] [омонимия не снята]"
Хочу́ / что́б Росси́я моя́ /, подо́бно ,небыва́лому фрега́ту / сошла́ со стапеле́й и ,2003,"диалог научный, нехудожественная, устная публичная речь",беседа,"Хочу́ / что́б Росси́я моя́ / подо́бно небыва́лому фрега́ту / сошла́ со стапеле́й и в пла́вание на за́висть все́м держа́вам.   [Предел времени. Программа ""Гордон"" (НТВ) (2003)] [омонимия не снята]"
ру́сские всё стоя́т / стра́шное чу́вство /, подо́бно ,чу́вству / испы́тываемому в сновиде́ниях / охва́тывало его́ / ,2009,"нехудожественная, устная непубличная речь",беседа,"Когда́ о́н перебира́л в воображе́нии всю́ э́ту стра́нную ру́сскую кампа́нию и слу́шал донесе́ния о то́м / что ру́сские всё стоя́т / стра́шное чу́вство / подо́бно чу́вству / испы́тываемому в сновиде́ниях / охва́тывало его́ / и ему́ приходи́ли в го́лову все́ несча́стные случа́йности / могу́щие погуби́ть его́. [В.Г. Буданов, В.С. Степин. Беседа В.Г. Буданова со В.С. Степиным (2009) // http://oralhistory.ru/] [омонимия не снята]"
да́же грехи́ ему́ проща́ются все́/, подо́бно ,тому́/ как вот ребёнок то́лько рожда́ется/ ,1976,"кино, нехудожественная","кино биографическое, кино историческое","Поэ́тому креще́ние/ да́же челове́к взро́слый/ о́н а́а ка́к бы ощуща́ется младе́нцем а́а та́к/ что вот да́же грехи́ ему́ проща́ются все́/ подо́бно тому́/ как вот ребёнок то́лько рожда́ется/ есте́ственно/ никаки́х грехо́в на нём не́т и бы́ть не мо́жет. [Александр Митта, Валерий Фрид, Юлий Дунский. Сказ про то, как царь Петр арапа женил, к/ф (1976)] [омонимия не снята]"
разу́мны бу́дете / но правле́ние ва́ше, подо́бно ,безу́мию бу́дет! ,2010,"монолог научный, нехудожественная, устная публичная речь",лекция,Е́сли не под вла́стью еди́ной бу́дете / то пу́сть крепки́ / пу́сть и храбры́ / пу́сть и разу́мны бу́дете / но правле́ние ва́ше подо́бно безу́мию бу́дет!  [Александр Иванчик. Космология. Проект Academia (ГТРК Культура) (2010)] [омонимия не снята]
сла́бо/ о́чень сла́бо минерализо́ванных во́д/, подо́бно ,во́дам озёр на́шего се́вера/ кото́рые заполня́ются ,2003,"нехудожественная, устная публичная речь",дискуссия,Жи́знь существу́ет на Земле́― и наве́рное/ существу́ет миллио́ны/ миллиа́рды да́же ле́т― в широча́йшем диапазо́не солёностей― от сла́бо/ о́чень сла́бо минерализо́ванных во́д/ подо́бно во́дам озёр на́шего се́вера/ кото́рые заполня́ются та́лой водо́й снего́в/ до водоёмов с самоса́дочной со́ли/ таки́е как Сиваши́ в Крыму́/ Мёртвое мо́ре или― наве́рное/ хорошо́ ва́м изве́стный/ поско́льку вы́ одесси́т― лима́н Куя́льник/    [Беседа с социологом на общественно-политические темы (Москва) (2003) // Фонд «Общественное мнение»] [омонимия не снята]
разви́тие астроно́мии позво́лило обнару́жить звёзды, подо́бно ,на́шего Со́лнца и уви́деть ря́дышком с ,2008,"нехудожественная, устная публичная речь",рассказ,"Сейча́с разви́тие астроно́мии позво́лило обнару́жить звёзды подо́бно на́шего Со́лнца и уви́деть ря́дышком с э́тими звёздами плане́ты. [Изборск. Д/ф из серии ""Письма из провинции"" (2008) // Т/к «Культура»] [омонимия не снята]"
Что́ ж ты́ / собра́т / не, подо́бно ,эпо́хе оде́лся?   ,2010,"монолог научный, нехудожественная, устная публичная речь",лекция,Что́ ж ты́ / собра́т / не подо́бно эпо́хе оде́лся?    [Валентин Янин. Человек XIII века. Проект Academia (ГТРК Культура) (2010)] [омонимия не снята]
войти́ в Ца́рствие небе́сное / ли́бо /, подо́бно ,э́той же́нщине / мы́ име́ем како́й-то неду́г ,2010,"монолог научный, нехудожественная, устная публичная речь",лекция,Мы́ ча́сто нужда́емся в то́м / что́бы Госпо́дь свое́й вла́стью на́м помо́г / ли́бо очи́стил от како́го-то греха́ / от кото́рого мы́ страда́ем / ли́бо что́бы в на́с была́ побеждена́ не́кая стра́сть / кото́рая меша́ет на́м войти́ в Ца́рствие небе́сное / ли́бо / подо́бно э́той же́нщине / мы́ име́ем како́й-то неду́г и стра́ждем от него́ / и мы́ по э́тому по́воду да́же мо́лим Бо́га и стара́емся на дома́шней моли́тве у Бо́га проси́ть [Александр Махов. Средневековый демонологический бестиарий. Проект Academia (ГТРК Культура) (2010)] [омонимия не снята]
о́н говори́л что́/ « моё де́ло, подо́бно ,де́лу/ мое́й тётки/ повит» она́ была́ повиту́хой ,1973,"кино, нехудожественная","кинодетектив, экранизация","И́/ э́э хотя́ мы́ называ́ем там допу́стим Сокра́та одного́ из пе́рвых кто́ поня понима́ние рожде́ния/ э́э зна́ний/ поста́вил в осно́ву с вот своего́ ме́тода/ э́э и́/ да́же разрабо́тана така́я нау́ка мае́втика э́то/ нау́ка вот о́/ рожде́нии зна́ний/ мае́втика. Э́э и са́м Сокра́т говори́л/ э́э когда́ о своём/ э́э подхо́де/ э́э о́н говори́л что́/ « моё де́ло подо́бно де́лу/ мое́й тётки/ повит» она́ была́ повиту́хой то́ есть « она́ [Татьяна Лиознова, Юлиан Семенов. Семнадцать мгновений весны, к/ф (1973)] [омонимия не снята]"
Мы, подобно ,смертельно раненому человеку решили / что мы ,1937,"кино, нехудожественная",кино историческое,"Мы подобно смертельно раненому человеку решили / что мы уже убиты. [Алексей Каплер, Михаил Ромм. Ленин в Октябре, к/ф (1937)] [омонимия не снята]"
Для осаждённых э́то бы́ло сме́рти, подо́бно ,,2009,"нехудожественная, устная непубличная речь",беседа,Для осаждённых э́то бы́ло сме́рти подо́бно. [Беседа с депутатом муниципалитета (2009) // Из коллекции НКРЯ] [омонимия не снята]
оде́жда / ка́к ве́сь о́н воссия́л, подо́бно ,тому́ / ка́к на Фаво́ре воссия́л Христо́с / ,2004,"нехудожественная, устная публичная речь",семинар,О́н ви́дел / ка́к лицо́ Свято́го Серафи́ма сия́ло / ка́к сия́ла его́ оде́жда / ка́к ве́сь о́н воссия́л подо́бно тому́ / ка́к на Фаво́ре воссия́л Христо́с / когда́ о́н говори́л с Моисе́ем и Ильёй о гряду́щем своём страда́нии. [Протоиерей Евгений Генинг. Беседы по системе «12 шагов». Шаг 6 (2004) // http://predanie.ru/gening/audio/238944-zaklyuchitelnaya-beseda/] [омонимия не снята]
вы́ ду́маете/ вот на вы́ставку, подо́бно ,э́той/ кото́рая посвящена́ Афганиста́ну и во́инам ,1945,"кино, нехудожественная","кино военное, кино историческое","А ка́к вы́ ду́маете/ вот на вы́ставку подо́бно э́той/ кото́рая посвящена́ Афганиста́ну и во́инам Афганиста́на/ ну́жно ли дава́ть/ опя́ть же/ како́й-то истори́ческий конте́кст/ ну́жно ли дава́ть оце́нку войны́/ це́ли/ ито́ги?    [Борис Чирсков, Фридрих Эрмлер. Великий перелом, к/ф (1945)] [омонимия не снята]"
Я́ до́лжен тренирова́ться ежедне́вно /, подо́бно ,тому́ / как скрипа́ч нуди́т свои́ га́ммы.,2004,"нехудожественная, устная публичная речь",лекция,Я́ до́лжен тренирова́ться ежедне́вно / подо́бно тому́ / как скрипа́ч нуди́т свои́ га́ммы. [Протоиерей Евгений Генинг. Беседы по системе «12 шагов». Шаг 2 (2004) // http://predanie.ru/gening/audio/238938-shag-2/] [омонимия не снята]
Промедле́ние сме́рти, подо́бно ,,2010,"нехудожественная, устная публичная речь",интервью,"Промедле́ние сме́рти подо́бно. [Сергей Фесенко, Яна Чурикова. Офис на час (2010) // видео-архив «Эксперт-ТВ» http://expert.ru/2010/04/26/vpc_260410/] [омонимия не снята]"
"Неда́ром Госпо́дь говори́т/ "" Ца́рствие Небе́сное", подо́бно ,"не́воду!"" ",2012,"нехудожественная, устная публичная речь",доклад,"Неда́ром Госпо́дь говори́т/ "" Ца́рствие Небе́сное подо́бно не́воду!""  [С.Ю. Толдова,  Е.Г. Соколова. Доклад на конференции Диалог 2012 (2012) // Из коллекции НКРЯ] [омонимия не снята]"
игра издревле заполняла жизнь и /, подобно ,дрожжам / заставляла расти формы культуры.,,"нехудожественная, художественное чтение",рассказ,Как общественный импульс / более старый / чем сама культура / игра издревле заполняла жизнь и / подобно дрожжам / заставляла расти формы культуры. [А.И. Куприн. Гоголь-моголь (исп. Б.Н. Ливанов) // «Старое радио» http://www.staroeradio.ru/audio/10187] [омонимия не снята]
А берестяны́е гра́моты/, подо́бно ,на́шим совреме́нным пи́сьмам/ они́ отража́ют повседне́вность/ ,2006,"нехудожественная, устная публичная речь",проповедь,А берестяны́е гра́моты/ подо́бно на́шим совреме́нным пи́сьмам/ они́ отража́ют повседне́вность/ они́ каса́ются вот того́/ чем челове́к бы́л озабо́чен с утра́ до ве́чера. [Протоиерей Димитрий Смирнов. 111 лет со дня основания храма (2006)] [омонимия не снята]
уника́льной спосо́бностью ула́вливать всё происходя́щее /, подо́бно ,рада́ру.,2001,"нехудожественная, устная публичная речь",дискуссия,Они́ всегда́ о́стро воспринима́ют всё / что́ и́х окружа́ет / облада́я ре́дкой интуи́цией и проница́тельностью / уника́льной спосо́бностью ула́вливать всё происходя́щее / подо́бно рада́ру. [Беседа с социологом на общественно-политические темы (Самара) (2001) // Фонд «Общественное мнение»] [омонимия не снята]
подзе́мной тишине́ / Зде́сь шу́м берёз /, подо́бно ,ли́рам / Пе́ть бу́дет ги́мн о ве́чном ,1981,"монолог научный, нехудожественная, устная публичная речь",доклад,Так спи́ же / тру́женица / с ми́ром / Ты́ зде́сь / в подзе́мной тишине́ / Зде́сь шу́м берёз / подо́бно ли́рам / Пе́ть бу́дет ги́мн о ве́чном сне́.   [Выступление на конференции по Н.С. Лескову (1981) // Фонотека ИРЯ им. В.В. Виноградова РАН] [омонимия не снята]
ва́с же́нщины / бледноли́цей / с волоса́ми, подо́бно ,у́тренней за́ре.  ,2003,"нехудожественная, устная публичная речь",парламентские слушания,Я́ не ви́жу среди ва́с же́нщины / бледноли́цей / с волоса́ми подо́бно у́тренней за́ре.   [Круглый стол «Демографическая катастрофа в России и проблемы ее преодоления» (2003) // Из коллекции НКРЯ] [омонимия не снята]
происходи́ли фа́зовые перехо́ды ва́куума― ну, подо́бно ,тому́/ как вода́ при нагрева́нии превраща́ется ,2001,"диалог научный, нехудожественная, устная публичная речь",беседа,"И энергети́чески вы́годно бы́ло распа́сться ва́кууму/ роди́ть вещество́ и излуче́ние/ кото́рые дру́г в дру́га переходи́ли/ и происходи́ли фа́зовые перехо́ды ва́куума― ну подо́бно тому́/ как вода́ при нагрева́нии превраща́ется в па́р/ а па́р при остыва́нии превраща́ется в во́ду.   [Происхождение древнерусского города. Программа ""Гордон"" (НТВ) (2001)] [омонимия не снята]"
так что временами это получалось, подобно ,тени / в зависимости от того / как ,2003,"диалог научный, нехудожественная, устная публичная речь",беседа,"Один был прозрачный / а другой был непрозрачный / так что временами это получалось подобно тени / в зависимости от того / как освещались фигуры / а иногда они сохраняли выпуклость и уже делались более конкретными / фактурны уже были. [Жизнь звездных систем. Программа ""Гордон"" (НТВ) (2003)] [омонимия не снята]"
Типа такого / которых воспитывают, подобно ,,1965-1998,"нехудожественная, устная публичная речь",беседа,Типа такого / которых воспитывают подобно.   [митрополит Антоний Сурожский. О святости и духовности (1965-1998) // http://www.metropolit-anthony.orc.ru/audio.htm] [омонимия не снята]
, Подо́бно ,дра́ме / о́н е́сть сочине́ние сли́шком усло́вленное.,1999,"нехудожественная, устная публичная речь",проповедь,"Подо́бно дра́ме / о́н е́сть сочине́ние сли́шком усло́вленное. [Протоиерей Димитрий Смирнов. Беседа на радио ""Радонеж"": Исцеление согбенной женщины Господом (1999) // http://tv.radonezh.ru/www/_radio/voprosi/smirnov/4-1999-12-12/100700301.mp3] [омонимия не снята]"
истори́ческих собы́тий / и хоте́л / что́бы, подо́бно ,ему́ изуми́лись други́е».,1999,"нехудожественная, устная публичная речь",проповедь,"О́н изуми́лся то́лько необыча́йности дву́х истори́ческих собы́тий / и хоте́л / что́бы подо́бно ему́ изуми́лись други́е». [Протоиерей Димитрий Смирнов. Беседа на радио ""Радонеж"": Исцеление согбенной женщины Господом (1999) // http://tv.radonezh.ru/www/_radio/voprosi/smirnov/4-1999-12-12/100700301.mp3] [омонимия не снята]"
всё-таки реши́лись обыска́ть Ке́ллера / лежа́вшего, подо́бно ,гвоздю́- с.,2003,"диалог научный, нехудожественная, устная публичная речь",беседа,"Приня́в в соображе́ние стра́нное исчезнове́ние Ферды́щенко / что возбуди́ло в на́с подозре́ние / мы́ всё-таки реши́лись обыска́ть Ке́ллера / лежа́вшего подо́бно гвоздю́- с. [Критическая соленость. Программа ""Гордон"" (НТВ) (2003)] [омонимия не снята]"
христиа… развива́ла христиа́нскую тради́цию― что, подо́бно ,тому́/ как Бо́г твори́л ми́р в ,2005,"нехудожественная, устная публичная речь",семинар,Э́то уже́ по́здняя иде́я Ренесса́нса и начала́ Реформа́ции/ э́та иде́я уже́ а́а становле́ния но́вого ти́па цивилиза́ции/ то́й/ в кото́рой мы́ живём. А́а но э́та иде́я перекочева́ла из христиа́нской тради́ции/ и она́ была́… развива́лась христиа… развива́ла христиа́нскую тради́цию― что подо́бно тому́/ как Бо́г твори́л ми́р в больши́х масшта́бах/ мы́ мо́жем повтори́ть э́то творе́ние в ма́лых масшта́бах/ поэ́тому моя́ де́ятельность с приро́дой― э́то приме́рно тако́е [Семинар по санскриту на филфаке МГУ (2005) // Из коллекции НКРЯ] [омонимия не снята]
оби… объясня́лась та́к вот/ как, подо́бно ,тому́/ ка́к вот в водяно́й маши́не ,2005,"нехудожественная, устная публичная речь",семинар,Ну́/ в о́бщем- то/ и рабо́та тепловы́х маши́н оби… объясня́лась та́к вот/ как подо́бно тому́/ ка́к вот в водяно́й маши́не па́дает вода́ с ве́рхнего у́ровня на ни́жний― кру́тит колесо́/ вот та́к и теплоро́д из одного́ у́ровня на друго́й па́дает и заставля́ет рабо́тать теплову́ю маши́ну.   [Семинар по санскриту на филфаке МГУ (2005) // Из коллекции НКРЯ] [омонимия не снята]
учи́тель пра́ведности выступа́ет как проро́к, подо́бно ,Моисе́ю/ или но́вый Моисе́й.,1968,"монолог научный, нехудожественная, устная публичная речь",доклад,Коль они заключа́ют с бо́гом но́вый заве́т ещё/ э́то приме́рно середи́на второ́го ве́ка до на́шей э́ры/ у ни́х очеви́дно до́лжен быть но́вый Моисе́й/ от кото о кото́ром предска́зано в кни́ге Второзако́ния в восемна́дцатой главе́/ и вот учи́тель пра́ведности выступа́ет как проро́к подо́бно Моисе́ю/ или но́вый Моисе́й. [В.В. Виноградов. Доклад «Диалектика развития словесных форм («Евгений Онегин» Пушкина и «Мёртвые души» Гоголя) (1968) // Фонотека ИРЯ им. В.В. Виноградова РАН] [омонимия не снята]
Промедле́ние сме́рти, подо́бно ,Григо́рий Ефи́мыч!   ,2006,"нехудожественная, устная публичная речь",дискуссия,Промедле́ние сме́рти подо́бно / Григо́рий Ефи́мыч!    [Дискуссия о СПИДе на телевидении (2006) // Из коллекции НКРЯ] [омонимия не снята]
на своем уровне / он ведет, подобно ,своему уровню.  ,2003,"нехудожественная, устная публичная речь",дискуссия,Когда человек стоит на каком-то на своем уровне / он ведет подобно своему уровню.   [Беседа с социологом на общественно-политические темы (Москва) (2003) // Фонд «Общественное мнение»] [омонимия не снята]
вы́нырнуть из темноты́ галакти́ческих глуби́н…, Подо́бно ,астеро́иду/ кото́рый…  ,2008,"нехудожественная, устная публичная речь",семинар,вы́нырнуть из темноты́ галакти́ческих глуби́н… Подо́бно астеро́иду/ кото́рый…   [А.В. Хуторской. Человекосообразное обучение на уроке. Выступление на выездном семинаре. (2008) // http://www.khutorskoy.ru/discus/audio/index.htm] [омонимия не снята]
Она́ промчи́тся по стране́ /, подо́бно ,быстрокры́лой пти́це! ,1968,"нехудожественная, устная публичная речь",беседа,"Она́ промчи́тся по стране́ / подо́бно быстрокры́лой пти́це!  [А.В. Азарх-Грановская, В.Д.Дувакин. Беседы с А.В. Азарх-Грановской: Беседы 1-3 (1968) // «Собрание фонодокументов имени В.Д. Дувакина» Отдела устной истории Научной библиотеки МГУ им. М.В. Ломоносова, 2001] [омонимия не снята]"
без тренировок / это ж смерти, подобно ,,2006,"нехудожественная, устная публичная речь",лекция,Среда и четверг без тренировок / это ж смерти подобно…   [Лекция по культурологии (2006) // Из коллекции НКРЯ] [омонимия не снята]
Паде́ние его́ сме́рти, подо́бно ,,2005,"нехудожественная, устная непубличная речь","праздный, разговор",Паде́ние его́ сме́рти подо́бно. [Разговор двух студенток о каратэ (2005) // Из коллекции НКРЯ] [омонимия не снята]
пери́ода / а Ма́йкова засо́хшего / смо́рщившегося /, подо́бно ,самому́ Леско́ву…  [сбой] Вот э́та э́э… така́я ,2004,"нехудожественная, устная публичная речь",лекция,Турге́нев ему́ бы́л соверше́нно непоня́тен / из числа́ поэ́тов о́н цени́л то́лько Ма́йкова / прито́м не Ма́йкова пе́рвого пери́ода / а Ма́йкова засо́хшего / смо́рщившегося / подо́бно самому́ Леско́ву…  [сбой] Вот э́та э́э… така́я э́э … м… ре́зкая / э́э … но вме́сте с те́м / э́то оце́нка / в кото́рой не́т ни гра́мма справедли́вости. [Протоиерей Евгений Генинг. Беседы по системе «12 шагов». Шаг 3 (2004) // http://predanie.ru/gening/audio/238943-shag-3/] [омонимия не снята]
сра́внивали / како́е коли́чество уча́стников поступа́ет, подо́бно ,золото́му станда́рту.  ,2006,"нехудожественная, устная публичная речь",беседа,"Во́т зде́сь во́т мы́ сра́внивали / како́е коли́чество уча́стников поступа́ет подо́бно золото́му станда́рту.   [Елена Кийко, Л.Е. Гаккель. Беседа с музыкантом Л.Е. Гаккелем в студии радио «Петербург» (2006) // Радио «Петербург» (СПб)] [омонимия не снята]"
что́ большинство́ систе́м выбира́ет разме́тку, подо́бно ,золото́му станда́рту / кото́рый бы́л вы́бран.,2006,"нехудожественная, устная публичная речь",беседа,"О́пыт пока́зывает / что́ большинство́ систе́м выбира́ет разме́тку подо́бно золото́му станда́рту / кото́рый бы́л вы́бран. [Елена Кийко, Л.Е. Гаккель. Беседа с музыкантом Л.Е. Гаккелем в студии радио «Петербург» (2006) // Радио «Петербург» (СПб)] [омонимия не снята]"
