Left context,Center,Right context,Created,Sphere,Type,Full context,Left_context_POS,Right_context_POS
Филогений” (« на оба плеча раскинулась»);, аки ,Захарий пророк” (« до пояса длина»);   ,2001,художественная,роман,Филогений” (« на оба плеча раскинулась»); аки Захарий пророк” (« до пояса длина»);    [Евгений Прошкин. Механика вечности (2001)] [омонимия не снята],VERB,NOUN
Захарий пророк” (« до пояса длина»);, аки ,Макарий Римский” ( клином « до полуколена»);   ,2001,художественная,роман,Захарий пророк” (« до пояса длина»); аки Макарий Римский” ( клином « до полуколена»);    [Евгений Прошкин. Механика вечности (2001)] [омонимия не снята],NOUN,NOUN
Макарий Римский” ( клином « до полуколена»)., аки ,"Макарий Египетский” (« по колени долга, а ",2001,художественная,роман,"Макарий Римский” ( клином « до полуколена»). аки Макарий Египетский” (« по колени долга, а от колен два косма повились до земли»).   [Евгений Прошкин. Механика вечности (2001)] [омонимия не снята]",NOUN,NOUN
"снова встают « обои в оружьи,", аки ,"на рать, и мост великий переметаша, ",2009,нехудожественная,повесть,"Так, в 1384 году два вече в разных концах города снова встают « обои в оружьи, аки на рать, и мост великий переметаша, нь ублюде бог и святая Софея от усобныя рати». [Ю. И. Андреева. Многоточие сборки (2009)] [омонимия не снята]",NOUN,PREP
"от оружиа, беша жи мертвии", аки ,на рати».,2009,художественная,повесть,"В 1418 году, во время так любимого историками классовой борьбы бунта Степанки, явление самой богородицы стало последним способом остановить сражение на мосту, где уже шло « губление: овы от стрелы, овы же от оружиа, беша жи мертвии аки на рати». [Ю. И. Андреева. Многоточие сборки (2009)] [омонимия не снята]",NOUN,PREP
"сказал: по чужому наущению действовали,", аки ,паяцы безмозглые в вертепе злоблестящем.,2009,художественная,повесть,"А главное, брате, я уже и так сказал: по чужому наущению действовали, аки паяцы безмозглые в вертепе злоблестящем. [А. В. Жвалевский, Е. Пастернак. Время всегда хорошее (2009)] [омонимия не снята]",VERB,NOUN
"Думал, грех меня,", аки ,"вшу ползучую, раздавит, ан хрен ему! ",2007,нехудожественная,роман,"Думал, грех меня, аки вшу ползучую, раздавит, ан хрен ему!  [Михаил Елизаров. Библиотекарь (2007)] [омонимия не снята]",NPRO,UNKN
"по доброй воле сына: отец, «", аки ,"раба», дрессировал его для карьеры в ",1968-1988,нехудожественная,очерк,"И было оно таковым отнюдь не по доброй воле сына: отец, « аки раба», дрессировал его для карьеры в своей фирме. [С. М. Голицын. Сказания о земле Московской (1968-1988)] [омонимия не снята]",NOUN,NOUN
"Никакой крамолы… Чисты,", аки ,горлицы…  ,1977,художественная,повесть,"Никакой крамолы… Чисты, аки горлицы…   [Чингиз Айтматов. Пегий пес, бегущий краем моря (1977)] [омонимия не снята]",ADJS,UNKN
, Аки ,"тать в нощи, ни с кем ",2000,нехудожественная,роман,"Аки тать в нощи, ни с кем не столкнувшись ни в подъезде, ни в лифте, я благополучно добралась до дверей Никитиной квартиры и вставила ключ в замочную скважину. [Иржи Грошек. Реставрация обеда (2000)] [омонимия не снята]",,NOUN
"Андреева, не ржи,", аки ,кобылица!   ,1972-1979,художественная,рассказ,"Андреева, не ржи, аки кобылица!    [Ю. М. Нагибин. Трое и одна и еще один (1972-1979)] [омонимия не снята]",NOUN,NOUN
т. е. кувалдочку) и прыгнул, аки ,лев на контрабудку.,1972-1979,художественная,рассказ,Я бросил свое “ сало” ( т. е. кувалдочку) и прыгнул аки лев на контрабудку. [Ю. М. Нагибин. Остров любви (1972-1979)] [омонимия не снята],VERB,ADJS
строчку из Библии: « будьте хитры (*), аки ,змии и просты аки голубицы».,2000,художественная,"лекция, цикл",Недавно в интервью одной из газет ты процитировала строчку из Библии: « будьте хитры (*) аки змии и просты аки голубицы». [С. А. Еремеева. Лекции по русскому искусству (2000)] [омонимия не снята],UNKN,NOUN
"бьет- убивается, руками во стены,", аки ,"подраненная- плененная птица- лебедица, колотится, горючими ",1998,художественная,монография,"Тут пуще прежнего разнюнилась красна девица, пациентка наша эксклюзивная: в пол в позахезанный челом бьет- убивается, руками во стены, аки подраненная- плененная птица- лебедица, колотится, горючими слезами умывается:    [Феликс Чуев. Ильюшин (1998)] [омонимия не снята]",NOUN,PRTF
"увидиш, славеноросский народе, дивное твое,", аки ,"от готовой погибели, избавление, врагом твоим ",1999,художественная,роман,"В сем бо едином увидиш, славеноросский народе, дивное твое, аки от готовой погибели, избавление, врагом твоим студное их попрание, славы и державы твоея умножение. [Павел Крусанов. Укус ангела // «Октябрь», 1999] [омонимия не снята]",ADJF,PREP
"похитити роское скипетро, принуждена воспятитися,", аки ,"бы распаленнаго железа коснувшися, а сие ",1999,художественная,роман,"Когда, многократно потщавшися или сломити, или похитити роское скипетро, принуждена воспятитися, аки бы распаленнаго железа коснувшися, а сие то было зависти оной разъярение. [Павел Крусанов. Укус ангела // «Октябрь», 1999] [омонимия не снята]",NOUN,PRCL
Видели есте и еще, аки ,бы до днесь пред очима имате ,1999,художественная,роман,"Видели есте и еще аки бы до днесь пред очима имате вся сия, вельможи, военачальницы и воини российстии!  [Павел Крусанов. Укус ангела // «Октябрь», 1999] [омонимия не снята]",PRCL,PRCL
"и наступил темный сумрак, и", аки ,"оная осяжимая мгла египетская, не на ",1999,художественная,роман,"Всюду смущения н междоусобие, и наступил темный сумрак, и аки оная осяжимая мгла египетская, не на воздусе, но в сердцах человеческих. [Павел Крусанов. Укус ангела // «Октябрь», 1999] [омонимия не снята]",CONJ,ADJF
"предварил нас шедротами своими и,", аки ,"денницу, веселый виктории день возвещающую, предпосла ",1999,нехудожественная,роман,"Однако ж по благоутробию своему подал нам утешение, предварил нас шедротами своими и, аки денницу, веселый виктории день возвещающую, предпосла нам благополучныя утехи: разбит Левенгопт, подстережен пред делом своим изменник, разорен и разсыпан Батурин. [Павел Крусанов. Укус ангела // «Октябрь», 1999] [омонимия не снята]",CONJ,NOUN
"безпечальнаго онаго уже доплывши брега,", аки ,"обратившеся, посматривают на море житейское и ",2012,нехудожественная,комментарий,"Обаче не усумневаюся, яко святии угодницы божии, безпечальнаго онаго уже доплывши брега, аки обратившеся, посматривают на море житейское и нас, братию свою, волнящыхся еще и бедствующих видят, не так своих себе от нас похвал хотят, суще от самаго славы господа прославлении, ― яко тогожде нам блаженства желают, которое они получили, сиесть наследования живота вечнаго. [коллективный. Форум: В жижечке очередная истерия по поводу ЮЮ... Обсуждение (2012)] [омонимия не снята]",NOUN,GRND
"обаче и от краткого воспоминания,", аки ,"от оставленнаго мелкаго следа, можем познати, ",2012,нехудожественная,комментарий,"Но обаче и от краткого воспоминания, аки от оставленнаго мелкаго следа, можем познати, коликий сей муж был, како не всуе нарицался великий князь российский, како разсуждал должность звания своего и не титлу токмо государственную, но и тяжесть государственных дел со усердием носити тщался. [коллективный. Форум: В жижечке очередная истерия по поводу ЮЮ... Обсуждение (2012)] [омонимия не снята]",NOUN,PREP
"междоусобий и несогласий повреждение силы,", аки ,великая скважня.,2012,нехудожественная,комментарий,"Внутрьуду немощна, от внеуду бедна бяше Россия, весьма отчаянному кораблю подобна: от единыя страны насильствие татарское, от другой нападение свейское, яко ветры жестокий, а внутрь отечества от мимошедшых междоусобий и несогласий повреждение силы, аки великая скважня. [коллективный. Форум: В жижечке очередная истерия по поводу ЮЮ... Обсуждение (2012)] [омонимия не снята]",NOUN,ADJF
"того, в котором государских должностей", аки ,зерцало представляется.  ,2012,нехудожественная,комментарий,"Воистинну может всяк по званию своему ходящий государь, и могл Александр наш неложно о себе с Давидом воспевати: « Милость и суд воспою тебе, господи» и прочая словеса псалма того, в котором государских должностей аки зерцало представляется.   [коллективный. Форум: В жижечке очередная истерия по поводу ЮЮ... Обсуждение (2012)] [омонимия не снята]",NOUN,NOUN
, Аки ,"бы другий желает как спастися, а ",2012,нехудожественная,комментарий,"Аки бы другий желает как спастися, а что по званию своему должен, о том ниже помышляя, но и многажды еще званию своему противное творя, ищет пути спасеннаго у сынов погибельных и вопрошает: как спастися?  [коллективный. Форум: В жижечке очередная истерия по поводу ЮЮ... Обсуждение (2012)] [омонимия не снята]",,PRCL
Они суть между живыми, аки ,мертвые.  ,2001,нехудожественная,статья,"Они суть между живыми аки мертвые.   [Георгий Бреев. Применение древних покаянных канонов в таинстве Покаяния с древности и до настоящего времени // «Альфа и Омега», 2001] [омонимия не снята]",NOUN,NOUN
"нежели те, кои без пути,", аки ,"лев рыкаяй, рыщут, иский, кого поглотити.  ",2002,нехудожественная,роман,"а во-вторых, ведь надо же между кем-нибудь казенные доходы делить, так уж пусть лучше получают те, кои дела не делают, а от дела не бегают, нежели те, кои без пути, аки лев рыкаяй, рыщут, иский, кого поглотити.   [Варвара Синицына. Муза и генерал (2002)] [омонимия не снята]",NOUN,ADJS
"богатстве и в пространстве живут,", аки ,"гладким путем ходящии, обаче Бога любяще ",1960-1980,нехудожественная,сказка,"Мнози бо при вере благочести- вой хранящии заповеди Господни, аще и в богатстве и в пространстве живут, аки гладким путем ходящии, обаче Бога любяще и от имений сво- их нищия милующе, тем путем гладким шествуют в небо.   [Виталий Губарев. Преданье старины глубокой (1960-1980)] [омонимия не снята]",VERB,ADJF
"от него же чин владычествующих,", аки ,благая отрасль от благаго корене произыде.,1960-1980,нехудожественная,сказка,"Не от Хама, от негоже рабское племя прозябе, но от Афета, от него же чин владычествующих, аки благая отрасль от благаго корене произыде. [Виталий Губарев. Преданье старины глубокой (1960-1980)] [омонимия не снята]",PRTF,ADJF
"несумненною, благочестивою: вера бо есть", аки ,покрывало вещей невидимых.,1960-1980,нехудожественная,сказка,"Верою во Христа несумненною, благочестивою: вера бо есть аки покрывало вещей невидимых. [Виталий Губарев. Преданье старины глубокой (1960-1980)] [омонимия не снята]",INTJ,NOUN
"пресветло- сияющие, от Владимира святаго,", аки ,"от солнца, немерцающее свое блистание имущие.  ",1960-1980,художественная,сказка,"Мощно бяше тожде рещи и к нашему российскому Аврааму, святому равноапостольному князю Владимиру, от него же равночисленные звездам княжеские домы на российском нашем небе видим пресветло- сияющие, от Владимира святаго, аки от солнца, немерцающее свое блистание имущие.   [Виталий Губарев. Преданье старины глубокой (1960-1980)] [омонимия не снята]",NOUN,PREP
"От сих дванадесяти великих князей,", аки ,"от дванадесяти источник израилевых, коликое множество ",1960-1980,нехудожественная,сказка,"От сих дванадесяти великих князей, аки от дванадесяти источник израилевых, коликое множество благопрорастительных отраслей произыде, кто исчести может?  [Виталий Губарев. Преданье старины глубокой (1960-1980)] [омонимия не снята]",NOUN,PREP
"править не указано, так бояре,", аки ,"псы ощетинясь, рекли, что- де сие ",1997,нехудожественная,статья,"Так вот, когда я отвечал боярам, ― продолжал он, не давая говорить хозяйке, ― что мне того в посольстве править не указано, так бояре, аки псы ощетинясь, рекли, что- де сие великому государю вельми грубо ― не в истерп- де воля новгородская и что- де и великий государь тебе, Василиюпосаднику, указал ответ ево, государев, держать, Великому Новуграду, аркучу тако: « Исправьтесь- де и, отчина моя, Великий Новгород [Рустам Арифджанов. Крещение // «Столица», 1997.12.22] [омонимия не снята]",NOUN,NOUN
молодцы от этой красоты становились «, аки ,"исступленные», перебалованная затем посадником Исачком, за ",1997,нехудожественная,статья,"сказочный « котик ― серебряны лапки», ― потом перебалованная в молодости своею красотой, на которую « ветер дохнуть не смел», а добрые молодцы от этой красоты становились « аки исступленные», перебалованная затем посадником Исачком, за которого она вышла из тщеславия и который « с рук ее не спускал, словно золот перстень», но которым она помыкала, как старою костригою в трепалке; избалованная наконец всем Новгородом, льстившим ее красоте, богатству и [Рустам Арифджанов. Крещение // «Столица», 1997.12.22] [омонимия не снята]",VERB,ADJF
"Так мы от него,", аки ,"голубица от коршуна, к королю под ",1997,нехудожественная,статья,"Так мы от него, аки голубица от коршуна, к королю под крыло хоронимся, токмо воли своей ему не продаем и себя в грамоте выгораживаем: ни медов ему не варим, как московским князьям дозде варивали, ни даров ему не даем, ни мыта княженецкого, а токмодеи послам и гостям нашим путь чист по литовской земле, литовским ― путь чист по новгородской.   [Рустам Арифджанов. Крещение // «Столица», 1997.12.22] [омонимия не снята]",NPRO,NOUN
"левого рукава Ловати, словно лес ― «", аки ,"борове», по выражению летописца ― лавиною двигались ",1997,нехудожественная,статья,"С возвышения, тянувшегося вдоль берега Ильменя, от левого рукава Ловати, словно лес ― « аки борове», по выражению летописца ― лавиною двигались московские рати, блистая на солнце шеломами, еловцами, кольчугами, сулицами, бердышами и развевая в воздухе всевозможных цветов стяги, потрясая копьями и рогатинами с острыми железными наконечниками.   [Рустам Арифджанов. Крещение // «Столица», 1997.12.22] [омонимия не снята]",NOUN,NOUN
"той туче спаде веверица млада,", аки ,"топерево рожена, и взростши расходится по ",1997,нехудожественная,статья,"Строки и слова рябили в глазах, но она читала дальше, хотя уже не вслух: « И еще мужи старии ходили на Югру и за Самоядь, яко видевше сами на полуночных странах ― спаде туча, и в той туче спаде веверица млада, аки топерево рожена, и взростши расходится по земли, и паки бывает другая туча, и спадают оленцы малы в ней, и возрастают и расходятся по [Рустам Арифджанов. Крещение // «Столица», 1997.12.22] [омонимия не снята]",NOUN,NOUN
"Здесь он будет,", аки ,на лоне Авраамлем.  ,2003,нехудожественная,рецензия,"Здесь он будет, аки на лоне Авраамлем.   [Василий Пригодич. Новый Пелевин, старый Лао-Цзы, или Вечный путь // Интернет-альманах «Лебедь», 2003.09.21] [омонимия не снята]",VERB,PREP
"критика, потому что нападает незаметно, «", аки ,"тать в нощи», и умерщвляет изнутри, ",1970,нехудожественная,монография,"Она опаснее для этого идеала, чем открытая и самая враждебная критика, потому что нападает незаметно, « аки тать в нощи», и умерщвляет изнутри, прикидываясь дружественной силой.   [В. П. Карцев. Приключения великих уравнений (1970)] [омонимия не снята]",ADVB,NOUN
"то, если есть средства ― то """, Аки ,"и "" Сатсума"" таки будут дредноутами.",1985,нехудожественная,очерк,"В общем- то, если есть средства ― то "" Аки"" и "" Сатсума"" таки будут дредноутами. [Вадим Розов. Подвиг // «Наука и религия», 1985] [омонимия не снята]",CONJ,CONJ
"не так рассуждали о епитимиях,", аки ,"бы не удобь применимых догматах, но ",1996,художественная,роман,"В Духовном Регламенте XIX века обращалось внимание на то, что « Древние святые Отцы и пастыри не так рассуждали о епитимиях, аки бы не удобь применимых догматах, но переменяли и переменять оные попускали, имея к тому некия благосклонныя вины, что зде неких отец свидетельствы показуем» (« Настольная книга…»    [Анна Ткачева. Приворот (1996)] [омонимия не снята]",NOUN,PRCL
"не советую курить, потому человек,", аки ,"былинка, сохнет.  ",2003,художественная,рецензия,"Справедливы твои речи, только табак я тебе не советую курить, потому человек, аки былинка, сохнет.   [Василий Пригодич. Постнеклассическая трагедия, или Критика критики // Интернет-альманах «Лебедь», 2003.11.23] [омонимия не снята]",NOUN,NOUN
"что возлюбит человек жену свою,", аки ,"тело свое, так и я к ",2003,нехудожественная,рецензия,"Я теперь именно, как в священном писании сказано: что возлюбит человек жену свою, аки тело свое, так и я к тебе прилепился; но если ты отвратишься от меня, так и я поведу себя с тобою, как бы собственным телом своим: никого не боючись и никого не слушаясь!    [Василий Пригодич. Критика критики, или Постнеклассическая комедия // Интернет-альманах «Лебедь», 2003.11.16] [омонимия не снята]",ADJF,NOUN
"явясь в земский суд, заявил,", аки ,"бы дочь его, состоящая в супружестве ",2003,нехудожественная,рецензия,"Дворянин Девочкин, явясь в земский суд, заявил, аки бы дочь его, состоящая в супружестве с вами, заключена вами в тюрьму.   [Василий Пригодич. Критика критики, или Постнеклассическая комедия // Интернет-альманах «Лебедь», 2003.11.16] [омонимия не снята]",VERB,PRCL
"посмотрети, иже лежат трупи крестьянськие", аки ,"сенныи стоги, а Дон река три ",1996,нехудожественная,статья,"И стал великий кнез Дмитрий Иванович со своим братом с князем Владимиром Андреевичем и со остальными своими воеводами на костях на поле Куликовом на речке Непрядве:   « Грозно бо и жалостно, брате, в то время посмотрети, иже лежат трупи крестьянськие аки сенныи стоги, а Дон река три дни кровию текла».   [Родион Водин. Компания Club Mediterranee // «Коммерсантъ-Daily», 1996.01.24] [омонимия не снята]",ADJF,NOUN
"прыгает с коня и начинает,", аки ,"купидон, летать над цирковой ареной на ",1989-1996,нехудожественная,мемуары,"Герой мой выделывает на скачущем коне неловкие, вызывающие смех трюки и когда видит, что подруга его уходит, возмущенная нелепостью всего происходящего, он прыгает с коня и начинает, аки купидон, летать над цирковой ареной на страховочной проволоке. [Семен Лунгин. Виденное наяву (1989-1996)] [омонимия не снята]",VERB,NOUN
"стариковском, значит, разуме свет держится,", аки ,"на китах- рыбах, ― верно!   ",1999,нехудожественная,мемуары,"На стариковском, значит, разуме свет держится, аки на китах- рыбах, ― верно!    [Евгений Евтушенко. «Волчий паспорт» (1999)] [омонимия не снята]",VERB,PREP
"глаз сделать надо, что ничего", аки ,"бы этого не было: ребенок, значит, ",1999,нехудожественная,мемуары,"Одного стыда людского теперь обегаючи, заневолю на себя все примешь: по крайности для чужих глаз сделать надо, что ничего аки бы этого не было: ребенок, значит, мой, и ты мне пока жена честная!  [Евгений Евтушенко. «Волчий паспорт» (1999)] [омонимия не снята]",NPRO,PRCL
"Антонию,", аки ,голубь.,1988,нехудожественная,роман,"Антонию, аки голубь. [Борис Васильев. Были и небыли. Книга 1 (1988)] [омонимия не снята]",NOUN,NOUN
"бывало, губернатор по губернии ехал,", аки ,владыко земной: что одних чиновников этих ,1997,нехудожественная,роман,"Прежде, сударь, бывало, губернатор по губернии ехал, аки владыко земной: что одних чиновников этих при особе его состояло, что этого дворянства по дороге пристанет. [Эдуард Володарский. Дневник самоубийцы (1997)] [омонимия не снята]",VERB,ADJS
"эта и говорит: « Матушка, болтают,", аки ,бы от вас подано на супруга ,1997,нехудожественная,роман,"Скрывали тоже и стыдились, что бы там сердце их ни чувствовало, а протопопица эта и говорит: « Матушка, болтают, аки бы от вас подано на супруга в полицию прошение, и супруг ваш найден в таком-то доме и с такой-то женщиной…»  [Эдуард Володарский. Дневник самоубийцы (1997)] [омонимия не снята]",VERB,PRCL
"начальству пошли и стали доказывать,", аки ,бы Федор Гаврилыч с настоящим разбойником ,1997,нехудожественная,роман,"Вместо того чтобы вам с вашей старой барыней делать поминовение за упокой праведной души Ольги Николавны, вы по начальству пошли и стали доказывать, аки бы Федор Гаврилыч с настоящим разбойником Иваном Фаддеичем приезжал, деньги все обрал и внучку украл. [Эдуард Володарский. Дневник самоубийцы (1997)] [омонимия не снята]",INFN,PRCL
"года мечталось: упитаться, разрастись вширь, “", аки ,древо”.,2000,нехудожественная,эссе,"Все четыре года мечталось: упитаться, разрастись вширь, “ аки древо”. [Юрий Буйда. Щина // «Знамя», 2000] [омонимия не снята]",PNCT,UNKN
"громадного циркуля проколол строителя храма,", аки ,саранчу негодную! ,2000,нехудожественная,эссе,"Тут подпряглись ученики завистливые, и один из них ножкой громадного циркуля проколол строителя храма, аки саранчу негодную!  [Юрий Буйда. Щина // «Знамя», 2000] [омонимия не снята]",NOUN,NOUN
"Ваша правда,", аки ,"паутиное ткание, прикосновением крыла бездушныя мухи ",1852,нехудожественная,пьеса,"Ваша правда, аки паутиное ткание, прикосновением крыла бездушныя мухи разоряется. [А. Н. Островский. Не в свои сани не садись (1852)] [омонимия не снята]",PRCL,ADJF
"нем, так сердце его взыграет,", аки ,солнышко на светлое Христово воскресенье.  ,1852,нехудожественная,пьеса,"Мне есть до фельдмаршала Бориса Петровича слово и дело; царю оно очень угодно будет; узнает о нем, так сердце его взыграет, аки солнышко на светлое Христово воскресенье.   [А. Н. Островский. Не в свои сани не садись (1852)] [омонимия не снята]",VERB,NOUN
"и Москва восстанет из пепла,", аки ,птица феникс.,1854,нехудожественная,пьеса,"Сейчас мы поймаем одного негодяя, Куцапов сломает ему челюсть, и Москва восстанет из пепла, аки птица феникс. [И. И. Лажечников. Окопировался (1854)] [омонимия не снята]",NOUN,NOUN
"и грубый, тащились за нею,", аки ,"овечки за пастушкой, и, к вящей ",1882,нехудожественная,роман,"И посетители, в основном неповоротливые бизнесмены- строители, народ простой и грубый, тащились за нею, аки овечки за пастушкой, и, к вящей радости фирмачей, набивали портфели рекламными брошюрками. [Д. Л. Мордовцев. Господин Великий Новгород (1882)] [омонимия не снята]",NOUN,NOUN
У Самига-, аки ,"и его жены четыре сына, двенадцать ",1833,нехудожественная,роман,"У Самига- аки и его жены четыре сына, двенадцать внуков.   [И. И. Лажечников. Последний Новик (1833)] [омонимия не снята]",NOUN,CONJ
"полудикий уездный городишко, в видах", аки ,бы наказания за строптивый и непокорный ,1862,нехудожественная,очерк,"Между тем для масонства наступала крутая пора, и Сверстов вдруг, по распоряжению высшего начальства, переведен был на службу из многолюдного и цивилизованного Ревеля совсем на восток России, в маленький, полудикий уездный городишко, в видах аки бы наказания за строптивый и непокорный характер перед старшими. [А. И. Левитов. Насупротив!.. (1862)] [омонимия не снята]",NOUN,PRCL
"свое пребывание местный архиерей Евгений,", аки ,"бы слушать ефимоны; но, увидав, что ",1862,нехудожественная,очерк,"На другой день Крапчик, как только заблаговестили к вечерне, ехал уже в карете шестериком с форейтором и с саженным почти гайдуком на запятках в загородный Крестовоздвиженский монастырь, где имел свое пребывание местный архиерей Евгений, аки бы слушать ефимоны; но, увидав, что самого архиерея не было в церкви, он, не достояв службы, послал своего гайдука в покой ко владыке спросить у того, может ли [А. И. Левитов. Насупротив!.. (1862)] [омонимия не снята]",NOUN,PRCL
"до днесь, и сотворили они,", аки ,бы,1862,нехудожественная,очерк,"Еще с 1825 году, когда я работал по моему малярному мастерству в казармах гвардейского экипажа и донес тогдашнему санкт-петербургскому генерал-губернатору Милорадовичу о бунте, замышляемом там между солдатами против ныне благополучно царствующего государя императора Николая Павловича, и когда господин петербургский генерал-губернатор, не вняв моему доносу, приказал меня наказать при полиции розгами, то злоба сих фармазонов продолжается и до днесь, и сотворили они, аки бы [А. И. Левитов. Насупротив!.. (1862)] [омонимия не снята]",NPRO,PRCL
был инспектором классов и где, аки ,"бы его обвиняли; а, по-моему, тут ",1862,нехудожественная,очерк,"Лично я, впрочем, выше всего ценил в Мартыне Степаныче его горячую любовь к детям и всякого рода дурачкам: он способен был целые дни их занимать и забавлять, хотя в то же время я смутно слышал историю его выхода из лицея, где он был инспектором классов и где аки бы его обвиняли; а, по-моему, тут были виноваты сами мальчишки, которые, конечно, как и Александр [А. И. Левитов. Насупротив!.. (1862)] [омонимия не снята]",ADVB,PRCL
