Left context,Center,Right context,Created,Sphere,Type,Full context,Left_context_POS,Right_context_POS
на защиту нашей власти Советской., Подобно ,"друзьям- товарищам коммунистам, мы пылаем желанием ― ",1966-1973,художественная,роман,"на защиту нашей власти Советской. Подобно друзьям- товарищам коммунистам, мы пылаем желанием ― бить белочехов. [А. И. Алдан-Семенов. Красные и белые (1966-1973)] [омонимия не снята]",ADJF,NOUN
"заре далеко от деревни Хижей,", подобно ,"множеству других деревень, раскинувшейся на берегу ",1900,художественная,роман,"С ними, опираясь на посох, в своем жалком рубище он отправлялся на заре далеко от деревни Хижей, подобно множеству других деревень, раскинувшейся на берегу Онежского озера, забирался на возвышенности, за лес, в поле со своими овцами и прежде, чем пасти словесных овец, пас бессловесных. [А. К. Шеллер-Михайлов. Дворец и монастырь (1900)] [омонимия не снята]",NOUN,NOUN
"Михайловичем, который требует, чтобы другие,", подобно ,"ему, приносили цветов в дар его ",1862-1889,нехудожественная,мемуары,"графиня со смехом отвечала, что это целая мистерия, созданная Алексеем Михайловичем, который требует, чтобы другие, подобно ему, приносили цветов в дар его лягушке. [А. А. Фет. Мои воспоминания / Часть II (1862-1889)] [омонимия не снята]",ADJF,NPRO
"набрасывал на бумагу речь, которую,", подобно ,"всем другим ораторам, хотел произнести на ",1868,художественная,роман,"Накануне давно ожидаемого дня Обноскова бросало и в пот, и в дрожь; от нетерпения он почти не мог ничего делать, двадцать раз ложился и снова вставал и набрасывал на бумагу речь, которую, подобно всем другим ораторам, хотел произнести на обеде, конечно, экспромтом. [А. К. Шеллер-Михайлов. Господа Обносковы (1868)] [омонимия не снята]",ADJF,ADJF
"заключается в том, что он", подобно ,Эльстиру стремится в своих произведениях « отрешиться ,1928,нехудожественная,статья,"Основная художественная манера Марселя Пруста заключается в том, что он подобно Эльстиру стремится в своих произведениях « отрешиться перед лицом реальности от всех понятий своего разума» в пользу непосредственного, наиболее « чистого», ничем не осложненного восприятия этой реальности. [А. К. Воронский. Марсель Пруст. К вопросу о психологии художественного творчества (1928)] [омонимия не снята]",NPRO,NOUN
"решительно безразлично, что его супруга,", подобно ,"древней Мессалине, прославилась не только на ",1904,художественная,рассказ,"Кажется, этому индивидую решительно безразлично, что его супруга, подобно древней Мессалине, прославилась не только на весь уезд, но и на всю губернию своим поведением. [А. И. Куприн. Мирное житие (1904)] [омонимия не снята]",NOUN,ADJF
"Труд только тогда свободен, когда", подобно ,всем остальным ценностям обусловливается предложением и ,1863,нехудожественная,"очерк, цикл","Труд только тогда свободен, когда подобно всем остальным ценностям обусловливается предложением и требованием, когда он вольнонаемный. [А. А. Фет. Из деревни. 1 (1863)] [омонимия не снята]",CONJ,ADJF
"что некоторые виды летучих мышей,", подобно ,"птицам, совершают далекие, перелеты, улетая на ",1947,нехудожественная,статья,"Так, благодаря кольцеванию стало известно, что некоторые виды летучих мышей, подобно птицам, совершают далекие, перелеты, улетая на зиму на юг. [А. В. Михеев. Кольцевание диких животных // «Наука и жизнь», 1947] [омонимия не снята]",NOUN,NOUN
Появился афоризм: « Счастье, подобно ,"бомбе, которая подбрасывается ― сегодня под одного, ",2007,нехудожественная,статья,"Появился афоризм: « Счастье подобно бомбе, которая подбрасывается ― сегодня под одного, завтра под другого». [А. Алексеев. Особенности реформ в «серебряном веке» // «Наука и жизнь», 2007] [омонимия не снята]",NOUN,NOUN
"что наш недоведенный мотор задерживает,", подобно ,"пробке на шоссе, движение всей страны; ",1940-1956,художественная,роман,"Я ощущал, что наш недоведенный мотор задерживает, подобно пробке на шоссе, движение всей страны; был внутренне подготовлен к решению, о котором вам только что сказал, и все-таки оно на меня обрушилось, как страшное личное несчастье.   [А. А. Бек. Талант (Жизнь Бережкова) / Части 4-6 (1940-1956)] [омонимия не снята]",VERB,NOUN
И теперь Езепов, подобно ,Порфирию Петровичу требовал от меня всё ,1958-1973,нехудожественная,монография,"И теперь Езепов подобно Порфирию Петровичу требовал от меня всё это связно объяснить: если мы так выражались в подцензурных письмах, то, что же мы могли говорить с глазу на глаз?  [А. И. Солженицын. Архипелаг ГУЛаг (1958-1973)] [омонимия не снята]",NOUN,NOUN
Кизерицкий был человеком со странностями., Подобно ,"некоторым другим директорам художественных музеев, он ",1967,нехудожественная,статья,"Кизерицкий был человеком со странностями. Подобно некоторым другим директорам художественных музеев, он очень любил быть « первооткрывателем», любил первым исследовать понравившуюся ему вещь. [А. Варшавский. Пелика с ласточкой // «Химия и жизнь», 1967] [омонимия не снята]",NOUN,NPRO
"ево « Америка», так и здесь,", подобно ,"по слову авторову, Ингрия, Провинция Древлероссийская, ",1751,нехудожественная,"монография, трактат","А что автор Ингрию называет « страну мира», в такой силе, когда Американ нашол на заподе некую часть незнаемой земли, которая и проименована во имя ево « Америка», так и здесь, подобно по слову авторову, Ингрия, Провинция Древлероссийская, чрез многия лета неправедно под игом шведским была держимая, оную Петр Великий в 1703- м году, по примеру Американову, древнюю свою Провинцию Ингрию, аки Новую Российскую Америку [А. И. Богданов. Описание Санктпетербурга (1751)] [омонимия не снята]",ADVB,PREP
"на возможность получения кардинальской шапки,", подобно ,Биббиене и Бембо.,1929,нехудожественная,статья,"Уже при папе Павле III Аретино намекали на возможность получения кардинальской шапки, подобно Биббиене и Бембо. [А. К. Дживелегов. Очерки итальянского Возрождения (1929)] [омонимия не снята]",NOUN,NOUN
"Я понимаю, что можно", подобно ,"Гурке не иметь ни за собой, ",1878,нехудожественная,письмо личное,"Я понимаю, что можно подобно Гурке не иметь ни за собой, ни за женой ничего ― и все себе заслужить. [А. А. Фет. Письма Л. Н. Толстому (1878)] [омонимия не снята]",PRED,NOUN
"извлечь из бариона или мезона,", подобно ,"тому, как электрон извлекается из атома.",1983-1989,нехудожественная,мемуары,"Характерная ее особенность ― удержание кварков: их нельзя извлечь из бариона или мезона, подобно тому, как электрон извлекается из атома. [А. Д. Сахаров. Воспоминания (1983-1989)] [омонимия не снята]",NOUN,ADJF
"и воинскою доблестью, а второй,", подобно ,"своему отцу, постриженному Годуновым, одною доблестью.",1868,нехудожественная,статья,"О Хворостинине и Мстиславском не могу сказать ничего, кроме, что первый был известен умом и воинскою доблестью, а второй, подобно своему отцу, постриженному Годуновым, одною доблестью. [А. К. Толстой. Проект постановки на сцену трагедии «Царь Федор Иоанович» (1868) // Сочинения. В 2-х т. Т. 2. Драматические произведения, 1981] [омонимия не снята]",ADJF,ADJF
распространяя заразу своихъ чудовищныхъ галлюцинацій., Подобно ,"тому, какъ раньше она успѣла убѣдить ",1924,нехудожественная,статья,"распространяя заразу своихъ чудовищныхъ галлюцинацій. Подобно тому, какъ раньше она успѣла убѣдить мужа, отца, мать въ реальности своего сожительства съ водяными бѣсами, беременности, родовъ, такъ точно и теперь, въ еще большей степени, внушаетъ и распространяетъ она галлюцинацію якобы покушающихся на нее лѣсныхъ бѣсовъ.   [А. В. Амфитеатров. Лѣшія сказки. Этюдъ къ изслѣдованію // Златоцвѣтъ, 1924] [омонимия не снята]",VERB,ADJF
"из-за буфетной стойки действиями прислуги,", подобно ,капитану судна во время бури.  ,1906,художественная,рассказ,"Мадам Иванова, еще более бескровная, невозмутимая и молчаливая, чем всегда, распоряжалась из-за буфетной стойки действиями прислуги, подобно капитану судна во время бури.   [А. И. Куприн. Гамбринус (1906)] [омонимия не снята]",NOUN,NOUN
"Так-с, похвально- с, бес-", подобно ,с!..,1895,художественная,повесть,"Так-с, похвально- с, бес- подобно-с!.. [А. И. Эртель. Карьера Струкова (1895)] [омонимия не снята]",NOUN,PREP
"Наука,", подобно ,"добродѣтели, есть для нихъ то, что ",1791,нехудожественная,письмо литературное,"Наука, подобно добродѣтели, есть для нихъ то, что горькое лекарство для дѣтей, которыя не понимаютъ, какъ можно принять его безъ лозы или безъ сахару. [[Н. М. Карамзин]. Шафтсбури къ Белю // Московской Журналъ, 1791] [омонимия не снята]",NOUN,NOUN
"выдумывали существительное, сами не зная,", подобно ,"нынешним необразованным людям, что это существительное; ",1862,нехудожественная,статья,"Так появились и части речи: нужно было назвать субстанцию ― выдумывали существительное, сами не зная, подобно нынешним необразованным людям, что это существительное; требовалось обозначать качество ― выдумывали прилагательное и т. д. [А. А. Потебня. Мысль и язык (1862)] [омонимия не снята]",GRND,ADJF
"Большевик, распятый", подобно ,господу богу! ,1966-1973,художественная,роман,"Большевик, распятый подобно господу богу!  [А. И. Алдан-Семенов. Красные и белые (1966-1973)] [омонимия не снята]",PRTF,NOUN
"идеи могут стать предметом науки,", подобно ,"тому как животные есть предмет зоологии, ",2003,нехудожественная,монография,"по-видимому, подразумевает, что идеи могут стать предметом науки, подобно тому как животные есть предмет зоологии, и что вторая часть ― „ логия” в слове „ идеология”, как и в слове „ зоология”, указывает не на что иное, как на logoi, научные высказывания о своем предмете… [А. В. Полетаев, И. М. Савельева. Знание о прошлом: теория и история. Том 1: Конструирование прошлого (2003)] [омонимия не снята]",NOUN,ADJF
"и сильных народов»; и в-третьих, «", подобно ,"тому, как инженеры- гидравлики стремятся использовать ",1939,нехудожественная,статья,"Во-первых, « естественно, что Великобритания принимает все зависящие от нее меры, чтобы ликвидировать угрозу… революции в Индии, поддержанную красными войсками»; во-вторых, « национальный эгоцентризм существует у всех здоровых и сильных народов»; и в-третьих, « подобно тому, как инженеры- гидравлики стремятся использовать стихийную силу воды, организуя ее», так и британские политики используют развал России…   [А. И. Деникин. Из книги «Мировые события и русский вопрос» (1939)] [омонимия не снята]",CONJ,ADJF
и быть изолирована от нее., Подобно ,"демону Максвелла, художник то открывает, то ",1986,нехудожественная,мемуары,"и быть изолирована от нее. Подобно демону Максвелла, художник то открывает, то закрывает дверь в перегородке между двумя сферами своей жизни: искусством и неискусством. [А. Козинцев. В очах души (1986)] [омонимия не снята]",NOUN,NOUN
"Там,", подобно ,"древним римлянам, не знаю при каком ",1842,бытовая,письмо,"Там, подобно древним римлянам, не знаю при каком случае ( ты, вероятно, знаешь лучше меня), они храбро защищались и не хотели сойти… [А. Д. Салтыков. Письма из Индии (1842)] [омонимия не снята]",ADVB,NOUN
"мадам на французский манер, где,", подобно ,"Липочке Большовой, девочка "" проявила способности"" ― обучилась ",1892-1902,художественная,рассказ,"Уступая веянию прогресса, он отдал дочь в пансион русской мадам на французский манер, где, подобно Липочке Большовой, девочка "" проявила способности"" ― обучилась играть на фортепиано и танцевать. [А. В. Амфитеатров. Семейство Ченчи (из сборника «Бабы и дамы») (1892-1902)] [омонимия не снята]",ADVB,NOUN
воздуха» ( углубление в себя не, подобно ,ли пребыванию в герметически закрытом сосуде? ,1938,бытовая,"дневник, записные книжки","Этим человеком был П. С. Всякое с ним сколько-нибудь долгое общение, посторонним не нарушаемое, очень скоро меня утомляло, и я становился безвольным, не зная, что и чем ответить, так как недостаток « воздуха» ( углубление в себя не подобно ли пребыванию в герметически закрытом сосуде?  [А. И. Батюто. Дневник (1938)] [омонимия не снята]",PRCL,PRCL
