Left context,Center,Right context,Created,Sphere,Type,Full context,Left_context_POS,Right_context_POS
"его; он не мог понять,", как ,"глупый, жестокий и слепой народ в ",1908,художественная,рассказ,"Слезы и гнев душили его; он не мог понять, как глупый, жестокий и слепой народ в страхе и раскаянии не пал на землю, вопия в смятении:    [А. А. Богданов. Провокация (1908)] [омонимия не снята]",INFN,ADJF
"фука» ― булыжники, домики и тротуары", как ,"пырснут, распавшись на атомы пыли, секущие ",1913,художественная,рассказ,"дери, с этим самым окном, что напротив: окно ― отворилось; и Грибиков, точно стенная кукушка, проснулся, фукая на переулок; от « фука» ― булыжники, домики и тротуары как пырснут, распавшись на атомы пыли, секущие эти пространства; Иван же Иваныч, сам пыль, привскочил, оказавшись опять у себя на диване пред мухою ― в пункте, откуда он был громко свергнут.   [А. А. Богданов. Акриды (1913)] [омонимия не снята]",NOUN,NOUN
самоопределенья я жаждал; когда и, как ,самоопределяться? ,1920-1928,художественная,рассказ,"Пережитое недавно порядком- таки меня взбудоражило: Петербург, 9 января, ссора с Брюсовым, история с Н***, ряд разочарований; самоопределенья я жаждал; когда и как самоопределяться?  [И. Э. Бабель. Шабос-Нахаму (из цикла «Гершеле») (1920-1928)] [омонимия не снята]",CONJ,INFN
"полный рост запускали, ― у кого", как ,"выйдет, а этот обиходил себя ― брился ",1932-1942,нехудожественная,"дневник, записные книжки","Сибиряки, видишь, по тому времени усы- бороду в полный рост запускали, ― у кого как выйдет, а этот обиходил себя ― брился и усы коротенько постригал. [Л. К. Бронтман. Дневники и письма (1932-1942)] [омонимия не снята]",NPRO,VERB
"Голос ее гремел,", как ,гром в горах.  ,1943-1946,нехудожественная,"дневник, записные книжки","Голос ее гремел, как гром в горах.   [Л. К. Бронтман. Дневники и письма (1943-1946)] [омонимия не снята]",VERB,NOUN
"И мне думается, что", как ,раз по отношению к Гумилеву в ,1945,художественная,сказ,"И мне думается, что как раз по отношению к Гумилеву в недавние его юбилейные дни была допущена большая несправедливость. [П. П. Бажов. Коренная тайность (1945)] [омонимия не снята]",CONJ,NOUN
Писать о чем хотим и, как ,хотим ― мы уже больше не умеем» ( ,1922,нехудожественная,"дневник, записные книжки",Писать о чем хотим и как хотим ― мы уже больше не умеем» ( см. [Андрей Белый. Африканский дневник (1922)] [омонимия не снята],CONJ,VERB
"от людей в полном восторге,", как ,я рад.,1926,художественная,роман,"Мама была от всего, от людей в полном восторге, как я рад. [Андрей Белый. Москва. Часть 2. Москва под ударом (1926)] [омонимия не снята]",NOUN,NPRO
"Только ведь баба,", как ,осенний дождь.,1910-1911,художественная,рассказ,"Только ведь баба, как осенний дождь. [А. Т. Аверченко. Мозаика (1910-1911)] [омонимия не снята]",NOUN,ADJF
 Как прольешь кровь?, Как ,нарушишь закон? ,1902-1903,нехудожественная,фельетон,Как прольешь кровь? Как нарушишь закон?  [А. С. Серафимович. Заметки обо всем (1902-1903)] [омонимия не снята],NOUN,VERB
"хвостовая часть блока гладкая, тогда", как ,во владимирском зодчестве хвостовая часть камня ,1912,нехудожественная,статья,"2) высечен на поверхности правильно обтесанного блока плотного известняка ( размер по лицевой стороне 44 X 32 см); хвостовая часть блока гладкая, тогда как во владимирском зодчестве хвостовая часть камня с резьбой обычно остается необработанной ― для лучшего сцепления с кладкой ( например, рельефы Боголюбовского Собора). [Андрей Белый. Лев Толстой и культура (1912)] [омонимия не снята]",ADVB,PREP
"жисти да чтоб ребята наши,", как ,"щенята, не дохли с голоду.",1905,художественная,рассказ,"Мы только одного хотим ― заработанного куска хлеба, человечьей жисти да чтоб ребята наши, как щенята, не дохли с голоду. [М. П. Арцыбашев. Ужас (1905)] [омонимия не снята]",ADJF,NOUN
"Тятеньку, дескать, покойного,", как ,"он вовсе из сил выбился, сам ",1945,художественная,сказ,"Тятеньку, дескать, покойного, как он вовсе из сил выбился, сам барин на волю отпустил. [П. П. Бажов. Алмазная спичка (1945)] [омонимия не снята]",ADJF,NPRO
Обращаться с нами, как ,"с людьми, не как с животными…  ",1905,художественная,рассказ,"Обращаться с нами как с людьми, не как с животными…   [М. П. Арцыбашев. Ужас (1905)] [омонимия не снята]",NPRO,PREP
"Самсонова даже брови приподнялись удивленно,", как ,будто он прочел в приказе явную ,1907,нехудожественная,статья,"У Самсонова даже брови приподнялись удивленно, как будто он прочел в приказе явную бессмыслицу.   [Андрей Белый. Настоящее и будущее русской литературы (1907)] [омонимия не снята]",ADVB,CONJ
"дилетант, а ты художник настоящий.", Как ,"сказать, Владимир Иваныч.",1929,нехудожественная,"дневник, записные книжки","дилетант, а ты художник настоящий. Как сказать, Владимир Иваныч. [М. С. Бабушкин. Дневник зверобойной экспедиции (1929)] [омонимия не снята]",ADJF,INFN
"Партия,", как ,"таковая, стоит на почве христианства, не ",1923,художественная,роман,"Партия, как таковая, стоит на почве христианства, не связывая себя с каким-либо отдельным вероисповеданием. [В. К. Арсеньев. Дерсу Узала (1923)] [омонимия не снята]",NOUN,ADJF
"Было видно,", как ,он постучал в крайнее окно.,1938,художественная,сказ,"Было видно, как он постучал в крайнее окно. [П. П. Бажов. Каменный цветок (1938)] [омонимия не снята]",CONJ,NPRO
"журналиста, да еще столь опытного,", как ,"Н. Волковыский, требовать ― добросовестности в отчетах.",1945,художественная,сказ,"Но одно я все же смею от журналиста, да еще столь опытного, как Н. Волковыский, требовать ― добросовестности в отчетах. [П. П. Бажов. Коренная тайность (1945)] [омонимия не снята]",ADJF,ADJF
"конечно, соли чтобы безотказно было,", как ,по нашим местам.  ,1955,нехудожественная,статья,"Только, конечно, соли чтобы безотказно было, как по нашим местам.   [Г. В. Адамович. Борис Зайцев (1955)] [омонимия не снята]",VERB,PREP
"имел в виду именно себя,", как ,человека с некоторым опытом в подобных ,1924,художественная,повесть,"Я находил, что это вообще вовсе не обязательно, а идти следует тому, кто там необходим или кто может быть серьезно полезен, причем имел в виду именно себя, как человека с некоторым опытом в подобных делах. [Л. Н. Сейфуллина. Виринея (1924)] [омонимия не снята]",NPRO,NOUN
его в больницу нужно свезти ―, как ,же мы уедем?..  ,1909,художественная,рассказ,"Может быть, его в больницу нужно свезти ― как же мы уедем?..   [Б. А. Садовской. Петербургская ворожея (1909)] [омонимия не снята]",INFN,PRCL
Вот оно, как ,"с», ― вставил почтительно камердинер…  ",1909,художественная,роман,"Вот оно как-с», ― вставил почтительно камердинер…   [Андрей Белый. Серебряный голубь (1909)] [омонимия не снята]",NPRO,PREP
Что такое случилось?, Как ,,1901,нехудожественная,статья,"Что такое случилось? Как?  [И. В. Бабушкин. Корреспонденции, напечатанные в газете «Искра» (1901)] [омонимия не снята]",VERB,
на коротенький миг я испытываю, как ,бы ожидание чувства обиды.,1929,художественная,мемуары,"На миг, только на коротенький миг я испытываю как бы ожидание чувства обиды. [Андрей Белый. На рубеже двух столетий (1929)] [омонимия не снята]",VERB,PRCL
"Беру его прямо с места,", как ,рыбу за жабры.  ,1904,нехудожественная,статья,"Беру его прямо с места, как рыбу за жабры.   [Андрей Белый. Критицизм и символизм (1904)] [омонимия не снята]",NOUN,NOUN
и « не должен рассматриваться только, как ,средство».,1940,нехудожественная,монография,Каждый миг жизни имеет свою неповторимую индивидуальность и « не должен рассматриваться только как средство». [В. Е. Белолипецкий. Зимние действия пехотного полка в Августовских лесах. 1915 год (1940)] [омонимия не снята],PRCL,NOUN
"Умаялись,", как ,собаки.  ,1901,нехудожественная,мемуары,"Умаялись, как собаки.   [И. В. Бабушкин. Воспоминания (1901)] [омонимия не снята]",VERB,NOUN
"Сережа побагровел,", как ,"тогда, когда говорил в казарме.",1913-1914,художественная,роман,"Сережа побагровел, как тогда, когда говорил в казарме. [Андрей Белый. Петербург (1913-1914)] [омонимия не снята]",VERB,ADVB
"И не ждут саперы,", как ,вдруг нагрянет.,1938,художественная,сказ,"И не ждут саперы, как вдруг нагрянет. [П. П. Бажов. Каменный цветок (1938)] [омонимия не снята]",NOUN,ADVB
"с Нэллой продолжали жить по-прежнему,", как ,брат и сестра.,1903,художественная,рассказ,"Несколько месяцев Арри с Нэллой продолжали жить по-прежнему, как брат и сестра. [М. П. Арцыбашев. Братья аримафейские (1903)] [омонимия не снята]",ADVB,NOUN
И то еще диво ―, как ,по ступенькам на прибыль шли; сперва ,1909,нехудожественная,мемуары,"И то еще диво ― как по ступенькам на прибыль шли; сперва были по фунтику, потом больше да больше, а стать одна ― лапоток!    [Б. В. Савинков (В. Ропшин). Воспоминания террориста (1909)] [омонимия не снята]",NOUN,PREP
"и великолепный голос, но так", как ,женщина без талии и рук существовать ,1940,художественная,сказ,"Я влюбляюсь в красивые глаза и великолепный голос, но так как женщина без талии и рук существовать не может ― отправляюсь на поиски всего этого. [П. П. Бажов. Огневушка-Поскакушка (1940)] [омонимия не снята]",CONJ,NOUN
"Центральной, патетической идеей Федорова была,", как ,"известно, идея всеобщего телесного воскрешения мертвых ― ",1940,нехудожественная,монография,"Центральной, патетической идеей Федорова была, как известно, идея всеобщего телесного воскрешения мертвых ― восстановительным актом этого последнего, заключительного поколения. [В. Е. Белолипецкий. Зимние действия пехотного полка в Августовских лесах. 1915 год (1940)] [омонимия не снята]",VERB,PRED
то эту самую учить приходится?, Как ,так?   ,1929,нехудожественная,"дневник, записные книжки",то эту самую учить приходится? Как так?    [М. С. Бабушкин. Дневник зверобойной экспедиции (1929)] [омонимия не снята],VERB,CONJ
И далее:, как ,резко обозначены гранитные массивы этого творчества ,1947,нехудожественная,статья,И далее: как резко обозначены гранитные массивы этого творчества в залитом блеском « Urbi et orbi».   [А. В. Арциховский. Основные вопросы археологии Москвы (1947)] [омонимия не снята],ADVB,ADVB
"таких наиболее ценных дел Упарта,", как ,дела с докладами и отчетами о ,1917,художественная,повесть,"В ЦВИА не оказалось, например, таких наиболее ценных дел Упарта, как дела с докладами и отчетами о войне, с донесениями об атаках, с наставлениями и руководствами, об изобретениях, о действительном расходе боевых припасов во время войны и пр. [В. К. Арсеньев. По Уссурийскому краю (1917)] [омонимия не снята]",NOUN,NOUN
"Научил ребят,", как ,"с золотом обходиться, чтобы и контора ",1945,художественная,сказ,"Научил ребят, как с золотом обходиться, чтобы и контора не шибко примечала и другие старатели не больно зарились. [П. П. Бажов. Алмазная спичка (1945)] [омонимия не снята]",NOUN,PREP
"ты да и все отодвигались,", как ,она широким кругом пошла.  ,1909,художественная,роман,"Еще ты да и все отодвигались, как она широким кругом пошла.   [Б. В. Савинков (В. Ропшин). Конь бледный (1909)] [омонимия не снята]",VERB,NPRO
"и были такие же поселки,", как ,во всем Москворечье.,1908,нехудожественная,статья,"Это относится ко всем эпохам, а особенно к древнейшим, когда города еще не было и на его месте так же рос лес и были такие же поселки, как во всем Москворечье. [Андрей Белый. Брюсов (1908)] [омонимия не снята]",NOUN,PREP
"лиловые дали, где гигантскими валами,", как ,"в океане, уходит в небо тайга.  ",1937,художественная,сказ,"Ласково и просительно смотрят в лиловые дали, где гигантскими валами, как в океане, уходит в небо тайга.   [П. П. Бажов. Сочневы камешки (1937)] [омонимия не снята]",NOUN,PREP
, Как ,"ты думаешь, стоит мне засесть за ",1901,нехудожественная,мемуары,"Как ты думаешь, стоит мне засесть за английский?  [И. В. Бабушкин. Воспоминания (1901)] [омонимия не снята]",,NPRO
С угора вся лощина, как ,на ладони.,1937,художественная,сказ,С угора вся лощина как на ладони. [П. П. Бажов. Сочневы камешки (1937)] [омонимия не снята],NOUN,PREP
ты знал ― как это тяжело!.., Как ,это дорого мне обходится!..  ,1940,художественная,сказ,ты знал ― как это тяжело!.. Как это дорого мне обходится!..   [П. П. Бажов. Огневушка-Поскакушка (1940)] [омонимия не снята],ADVB,PRCL
Скоро маменька к обеду придут?, Как ,"вы сказали, ― Иринка? ",1923-1924,нехудожественная,очерк,"Скоро маменька к обеду придут? Как вы сказали, ― Иринка?  [П. П. Бажов. Очерки. Уральские были (1923-1924)] [омонимия не снята]",VERB,NPRO
"В позитивизме,", как ,"системе наук, и в ограничении компетенции ",1931,нехудожественная,статья,"В позитивизме, как системе наук, и в ограничении компетенции науки между движением и сознанием открывается характер научного миропонимания, как миропонимания догматического. [Н. В. Устрялов. Проблема прогресса (1931)] [омонимия не снята]",NOUN,NOUN
"больше всего то, что арестованный,", как ,"он слишком хорошо знал, был только ",1934,художественная,мемуары,"Волновало его больше всего то, что арестованный, как он слишком хорошо знал, был только писатель, и вся его практическая деятельность сводилась исключительно к тому, что он последовательно отстаивал свои убеждения и верования в литературе. [Андрей Белый. Между двух революций (1934)] [омонимия не снята]",NOUN,NPRO
