Left context;Center;Right context;Created;Sphere;Type;Full context;Left_context_POS;Right_context_POS
все равно будет при них,;как;вечная драгоценность.;1960;нехудожественная;публицистический;Стихи Пушкина дарили детям русский язык в самом совершенном его великолепии, язык, который они, может быть, никогда больше не услышат и на котором никогда не будут говорить, но который все равно будет при них, как вечная драгоценность. [А. А. Ахматова. Пушкин и дети (1965)] [омонимия не снята];NPRO;ADJ
разруха росли с каждым днем.;как;ни странно, ныне все эти обстоятельства ;1957;нехудожественная;публицистический;разруха росли с каждым днем. Как ни странно, ныне все эти обстоятельства не учитываются.   [А. А. Ахматова. Автобиографическая проза (1957-1965)] [омонимия не снята];ADVB;AUX
в чем же и;как;изменился пушкин?   ;1940;нехудожественная;публицистический;В чем же и как изменился Пушкин?    [А. А. Ахматова. «Каменный гость» Пушкина (1947)] [омонимия не снята];AUX;VERB
не зналъ, на что рѣшиться,;как;вдругъ услышалъ, по направленію къ лѣсу ( ;1850;художественная;художественный;"Меня начала одолѣвать усталость, и я не зналъ, на что рѣшиться, какъ вдругъ услышалъ, по направленію къ лѣсу ( домъ этотъ былъ крайній въ городѣ) пріятные звуки, издаваемые австралійской сорокой; но какъ ни походили они на настоящее пѣніе птицы, все-таки, однако, отзывались подражаніемъ; и я не безъ причины подумалъ, что это какой нибудь сигналъ. [[Роукрофт Ч.]. Разсказы о колоніяхъ Вандименовой земли // «Современникъ», 1850] [омонимия не снята]";VERB;NOUN
состоит исключительно из местных крестьян;как;взрослых, так и подростков обоего пола.;1912;нехудожественная;публицистический;Капелла эта состоит исключительно из местных крестьян как взрослых, так и подростков обоего пола. [А. А. Ахременко. Крестьянская капелла (1912.05.05) // «Московские ведомости», 1912] [омонимия не снята];NOUN;NOUN
наложили мы тут немчуры,;как;дров.;1940;нехудожественная;публицистический;Наложили мы тут немчуры, как дров. [А. А. Авдеев. Дневник (1944)] [омонимия не снята];NOUN;NOUN
людей и разорение домов происходило,;как;от правых, так и ложных доносов, ;1750;нехудожественная;деловой;есть, по которым бесчисленное истязание, гибель людей и разорение домов происходило, как от правых, так и ложных доносов, что сим в пресечении таможен конец свой возмет, ибо тот случай, по которому оное происходило, искореняется. [[Елизавета Петровна]. Указ «Об уничтожении внутренних таможенных и мелочных сборов» (1753)] [омонимия не снята];VERB;AUX
но и лишались имений своих,;как;нерадивые о своем и потомков своих ;1760;нехудожественная;деловой;Правда, что таковые учреждения, хотя и в начале частию казались тягостными и несносными для дворянства, лишаться покоя, отлучаться домов, продолжать против воли своей самим военную и другие службы, и детей своих в оных записывать, от которой некоторые укрывались, подвергая себя за то не только штрафам, но и лишались имений своих, как нерадивые о своем и потомков своих добре.   [[Петр III]. Манифест о даровании вольности и свободы всему российскому дворянству (1762)] [омонимия не снята];ADJ;ADJ
у таланцевых урок прошёл;как;обыкновенно, опять читала боре наставление и ;1900;нехудожественная;публицистический;У Таланцевых урок прошёл как обыкновенно, опять читала Боре наставление и упрекала его в лености, но, в общем, разошлись мы довольно мирно.   [А. А. Аллендорф. Дневник (1905)] [омонимия не снята];VERB;ADVB
это,;как;мы помним, необходимо для того, чтобы ;1920;нехудожественная;публицистический;Это, как мы помним, необходимо для того, чтобы устранить взаимное влияние контуров при перестройках их. [H. Изюмов. Электронная лампа // «Радио Всем», 1928] [омонимия не снята];AUX;NPRO
смотря на то, римский император,;как;глава империи, должен теперь согласиться на ;1800;нехудожественная;публицистический;"Не смотря на то, Римский Император, как глава Империи, должен теперь согласиться на решение Депутации; но ратификация его еще не объявлена. [[Н. М. Карамзин]. Известия и замечания // «Вестник Европы», 1802] [омонимия не снята]";NOUN;NOUN
и подобные породы обычно описывали;как;гранатизированные габбро, гранат-везувиановые фельзиты, гранатиты, офиосфериты ;2000;нехудожественная;научный;В отечественной литературе, однако, термин прижился не сразу, и подобные породы обычно описывали как гранатизированные габбро, гранат-везувиановые фельзиты, гранатиты, офиосфериты и т. д. ( Колман, 1979). Кроме того, часто использовались также названия, отражающие либо особенности химического состава этих горных пород ( известково-силикатные породы, кальциево-алюмосиликатные породы), либо их характерные минеральные ассоциации: хлорит-везувиан-гранатовая порода ( Падалка, 1932), хлорит-гранатовая порода, пироксен-гранатовая порода ( Соболев, 1952). [А. А. Антонов. Минералогия родингитов Баженовского гипербазитового массива (2003)] [омонимия снята];VERB;PRT_GRND
потому что ночью уехал сразу,;как;выпил за рощапкинскую удачу флотские сто ;1970;художественная;художественный;Сейчас он был, наверное, уже в Ленинграде, потому что ночью уехал сразу, как выпил за рощапкинскую удачу флотские сто пятьдесят.   [O. М. Куваев. Эй, Бако! (1975)] [омонимия не снята];ADVB;VERB
подмигнул рощапкину добродушно и мудро,;как;человек, знающий соль бытия.  ;1970;художественная;художественный;А выпив, взял не спеша ломтик лимона и подмигнул Рощапкину добродушно и мудро, как человек, знающий соль бытия.   [O. М. Куваев. Эй, Бако! (1975)] [омонимия не снята];ADVB;NOUN
ту должность, о котором, так;как;и о числе душ, из коего ;1780;нехудожественная;деловой;прикосновенными ему предоставляем на соглашение Наших Генералов- Губернаторов и правящих ту должность, о котором, так как и о числе душ, из коего вся Губерния и в ней уезды составлены будут, подать в Сенат Наш ведомости.   [[Екатерина II]. Указ Именной, данный Сенату 16 сентября 1781 года. Об Учреждении Черниговского Наместничества (1781)] [омонимия не снята];AUX;AUX
крыльев своих в души потомков,;как;семена всего прекрасного, доброго и высокого.;1835;художественная;публицистический;Слава есть любовь настоящего к минувшему, любовь тем чистейшая, что она бескорыстна и справедлива, тем более дивная, что она оживляет своим дыханием пылинки пепла в искры вдохновения и рассыпает их с лучезарных крыльев своих в души потомков, как семена всего прекрасного, доброго и высокого. [А. А. Бестужев-Марлинский. Он был убит (1835-1836)] [омонимия не снята];NOUN;NOUN
и;как;странно въ наши дни представить себѣ, ;1930;нехудожественная;публицистический;И какъ странно въ наши дни представить себѣ, что когда то очень зрѣлые и очень умные люди, смотря на первые автомобили. кривили насмѣшливо губы и солидно предрѣкали этой вздорной новинкѣ, какъ летучей модѣ короткое двухнедѣльное сѵществованіе. [A.И. Купринъ. Бабиль // За рулемъ (Париж), 1933] [омонимия не снята];AUX;ADVB
но свободное употребление оного позволили,;как;то их персиянского закону люди в ;1710;нехудожественная;деловой;И буде мочно снесшися о сем с ним, грузинским царевичем и усмотря удобное время и состояние тамошних дел представить шахову величеству имянем царского величества, чтоб подданным его шахова величества веры христианской благостивой греческого исповедания никакого утеснения и принуждения в своей вере не чинили, но свободное употребление оного позволили, как то их персиянского закону люди в государстве его царского величества всегда имеют, тако ж [[Петр I]. Инструкция Петра I Волынскому для выполнения дипломатической миссии в Персии (1715)] [омонимия не снята];VERB;AUX
было далеко не так оживлённо,;как;два года тому назад.  ;1910;нехудожественная;публицистический;После ужина устроили танцы, но было далеко не так оживлённо, как два года тому назад.   [А. А. Аллендорф. Дневник (1911)] [омонимия не снята];ADVB;NUMR
тогда;как;нынешние материки вытянуты преимущественно с севера ;1920;нехудожественная;публицистический;Тогда как нынешние материки вытянуты преимущественно с севера на юг ( меридионально) ― Америка, Африка, Азия, ― материки полеозойского времени имели вытянутость с запада на восток ( долготную). [А. X-н. История земли. Очерк пятый // «Наука и техника», 1925] [омонимия не снята];ADVB;ADJ
припомнил я теперь,;как;пишу, какое было забавное происшествие, в ;1840;нехудожественная;публицистический;Припомнил я теперь, как пишу, какое было забавное происшествие, в котором я играл важную роль. [А. А. Башилов. Молодость А. А. Башилова (1841) // Заря, 1871] [омонимия не снята];ADVB;VERB
и вѣчно на основаніи законовъ,;как;внутри города, такъ и внѣ онаго.  ;1780;нехудожественная;деловой;"2. Городу подтверждаются правильно принадлежащія по Межевой Инструкціи, или инако законно, земли, сады, поля, пастьбы, луга, рѣки, рыбныя ловли, лѣса, рощи, кустарники, пустыя мѣста, мельницы водяныя или вѣтреныя; всѣ оныя вообще и каждое порознь ненарушимо имѣть, и онымъ пользоваться мирно и вѣчно на основаніи законовъ, какъ внутри города, такъ и внѣ онаго.   [[Екатерина II]. Грамота на права и выгоды городамъ Россійской Имперіи (1785)] [омонимия не снята]";NOUN;AUX
духовные присудствовали: того ради надлежит,;как;при начинании, так и при окончании ;1710;нехудожественная;деловой;И дабы при том все духовные присудствовали: того ради надлежит, как при начинании, так и при окончании службы божия, в трубы у командующаго генерала над войском, знак дать, и потом от полку до полку барабаны бить, или на трубах трубить, и тако службу божию начинать и оканчивать.   [[Петр I]. Артикул воинский (1715)] [омонимия не снята];VERB;AUX
истребит цейланскую жемчужную ловлю, так,;как;она истребилась на берегах персии, южной ;1800;нехудожественная;публицистический;Можно предвидеть, что это небрежение рано или поздно совсем истребит Цейланскую жемчужную ловлю, так, как она истребилась на берегах Персии, южной Америки и Швеции.   [[Н. М. Карамзин]. Ловля жемчужных раковин на острове Цейлане // «Вестник Европы», 1802] [омонимия не снята];AUX;NPRO
или помните, « да;как;же ты венчалась, няня? ;2010;нехудожественная;публицистический;Или помните, « Да как же ты венчалась, няня?  [А. А. Архангельский, А. А. Данилова. В чем проблемы преподавания литературы в школе?-Александр Архангельский // 2016] [омонимия не снята];AUX;AUX
для есенина,;как;и для нас ― его соавторов, было ;1950;нехудожественная;публицистический;Для Есенина, как и для нас ― его соавторов, было важно показать ритм и стремительность этого преображения действительности. [H. A. Павлович. Как создавался киносценарий «Зовущие зори» (1956)] [омонимия не снята];NOUN;AUX
были увешаны портретами невероятной длины   (;как;мне теперь кажется ― от пола до ;1959;нехудожественная;публицистический;Стены его мастерской были увешаны портретами невероятной длины   ( как мне теперь кажется ― от пола до потолка). [А. А. Ахматова. Амедео Модильяни (1959-1964)] [омонимия не снята];NOUN;NPRO
прошения о вызове новых свидетелей,;как;поданного в установленный срок, но поступившего ;1870;нехудожественная;деловой;В приведенном решении правительствующий сенат, признавая совершенно правильной жалобу Томилина на не рассмотрение судом прошения о вызове новых свидетелей, как поданного в установленный срок, но поступившего лишь несвоевременно в суд после постановления по делу приговора, нашел, что нарушение это не может быть признано существенным потому, что на основании статьи 575 Уст. [[Александр II]. Указ его императорского величества самодержца всероссийского из правительствующего сената Новгородскому и С.-Петербургскому окружным судам (1878)] [омонимия не снята];NOUN;PRT_GRND
его и мало видели, так;как;он уселся играть в карты.;1910;нехудожественная;публицистический;До ужина он был ужасно мрачен, да мы его и мало видели, так как он уселся играть в карты. [А. А. Аллендорф. Дневник (1910)] [омонимия не снята];AUX;NPRO
комисаром, за руками своими отписи,;как;скоро возможно, без всякои плательщиком волокиты: ;1720;нехудожественная;деловой;А комисару подписать под тоюж статьею, своею рукою, что он те денги принял, и сверх того давать тем плательщиком, им комисаром, за руками своими отписи, как скоро возможно, без всякои плательщиком волокиты: а ежели комисар, в три дня отписи не даст, то тем плательщиком доносить, в том на них комисаров, полковником: а в необытность их, оставшим офицером, которые должны комисара принудить, дабы отписи [[Петр I]. Плакат о зборе подушном и протчем (1724)] [омонимия не снята];NOUN;ADVB
и сопровождавших наказание боголюбова, тогда;как;по вышеприведенным объяснениям засулич, на решимость ;1870;нехудожественная;деловой;Но присяжный поверенный Александров просил суд о вызове поименованных в его заявлении лиц не для проверки подробностей рассказов, переданных об этом событии Засулич совсем другими лицами, а для проверки обстоятельств, вызвавших и сопровождавших наказание Боголюбова, тогда как, по вышеприведенным объяснениям Засулич, на решимость ее повлияли не обстоятельства, вызвавшие и сопровождавшие наказание Боголюбова розгами, очевидицей которых она не была, а рассказы об этом событии [[Александр II]. Указ его императорского величества самодержца всероссийского из правительствующего сената Новгородскому и С.-Петербургскому окружным судам (1878)] [омонимия не снята];ADVB;AUX
кочкарник драть и сушить, так;как;в голштинии, и в иных таких ;1720;нехудожественная;деловой;А в степных и без лесных местах, велеть делать им самим же торф двумя маниры, где сыщется в болотах на голанскои манир, а где высокие, то дерн и кочкарник драть и сушить, так как в Голштинии, и в иных таких местах делают, а в хлебных местах, где навоз не употребляют на поля, делать тезеки как татара делают. [[Петр I]. Плакат о зборе подушном и протчем (1724)] [омонимия не снята];AUX;AUX
лицам не трудно было видеть,;как;тут « сладко» жилось при новых порядках, ;1940;нехудожественная;публицистический;По их измученным, худым лицам не трудно было видеть, как тут « сладко» жилось при новых порядках, установленных кровопийцем Гитлером. [А. А. Авдеев. Дневник (1945)] [омонимия не снята];VERB;ADVB
гете толкуют,;как;"будто он был непонятен; а байроном ";1820;нехудожественная;публицистический;"Гете толкуют, как будто он был непонятен; а Байроном восхищаются, не понимая его в самом деле. [А. А. Бестужев. Знакомство мое с А. С. Грибоедовым (1829)] [омонимия не снята]";VERB;AUX
и положенной на мне чин,;как;по сей ( генеральной, так и по ;1720;нехудожественная;деловой;Когда же к службе и пользе его величества, какое тайное дело, или какое б оно ни было, которое приказано мне будет тайно содержать, и то содержать в совершенной тайне, и никому не объявлять, кому о том ведать не надлежит, и не будет повелено объявлять, и поверенной и положенной на мне чин, как по сей ( генеральной, так и по особливой) определенной, и от времени [[Петр I]. Генеральный регламент (1720)] [омонимия не снята];NOUN;AUX
него въ рукѣ, и потомъ;как;будто началъ читать что-то съ большимъ ;1850;художественная;художественный;Поворотивъ за уголъ, Жолтая Куртка остановился, посмотрѣвъ на какую-то вещь, находящуюся у него въ рукѣ, и потомъ какъ будто началъ читать что-то съ большимъ вниманіемъ. [[Роукрофт Ч.]. Разсказы о колоніяхъ Вандименовой земли // «Современникъ», 1850] [омонимия не снята];NOUN;AUX
мочно, чтоб о том советовали,;как;"то чинить; но когда положат, тогда ";1720;нехудожественная;деловой;"Дела разумеются, о которых надлежит письменный указ, те, которые в действо производить, а не те, которые к сочинению действа надлежат, например, надлежит собрать деньги или провиант, тогда и словами приказать мочно, чтоб о том советовали, как то чинить; но когда положат, тогда доложить, так ли быть, и когда апробуется, тогда не производить в дело без письменного указа. [[Петр I]. Генеральный регламент (1720)] [омонимия не снята]";VERB;AUX
активные производные кислорода,;как;и следует из их названия, наделены ;1980;нехудожественная;публицистический;Активные производные кислорода, как и следует из их названия, наделены высокой химической активностью: например, синглетный кислород окисляет ненасыщенные жирные кислоты в тысячи раз быстрее, чем простой О2. [А. А. Аверьянов. Незнакомый кислород // «Химия и жизнь», 1982] [омонимия не снята];NOUN;AUX
боязни нашей смертного часа: 1?;как;мы приближаемся к смерти? ;1780;нехудожественная;публицистический;боязни нашей смертного часа: 1? Как мы приближаемся к смерти?  [M.M. Щербатов. Размышления о смертном часе (1788)] [омонимия не снята];NUMR;NPRO
и послужит нам камертоном, так;как;такового среди режиссуры не имелось.  ;1920;нехудожественная;публицистический;Неунывающая никогда бенефициантка не участвовала в « Чайке» и выбрала для себя более подходящую веселую комедию для конца спектакля, но на считку приехала и теперь утешалась тем, что Чехов сам поведет репетиции и послужит нам камертоном, так как такового среди режиссуры не имелось.   [M. M. Читау. Премьера «Чайки» (Из воспоминаний актрисы) (1926)] [омонимия не снята];AUX;ADJ
столь же сильно ею прельщался,;как;потом и ненавидел.;1780;художественная;художественный;Вчерась еще я столь же сильно ею прельщался, как потом и ненавидел. [E. P. Дашкова. Тоисиоков. Комедия в пяти действиях (1786)] [омонимия не снята];VERB;ADVB
твердым исполнением не инако можно,;как;избрать средства к тому прямые и ;1760;нехудожественная;деловой;По сему ясно, что корень всему злу и добру воспитание: достигнуть же последнего с успехом и с твердым исполнением не инако можно, как избрать средства к тому прямые и основательные.   [[Екатерина II]. Генеральное учреждение о воспитании обоего пола юношества (1764)] [омонимия не снята];TRSH;VERB
прощаясь, красноармеец зиракашвили,;как;брат, обнял меня и крепко поцеловал.  ;1940;нехудожественная;публицистический;Прощаясь, красноармеец Зиракашвили, как брат, обнял меня и крепко поцеловал.   [А. А. Авдеев. Дневник (1941)] [омонимия не снята];NOUN;NOUN
плоскости, которые сыпались в толпе,;как;мишура с платьев! ;1830;художественная;художественный;Да где мне пересказать тебе все остроты или все плоскости, которые сыпались в толпе, как мишура с платьев!  [А. А. Бестужев-Марлинский. Фрегат «Надежда» (1833)] [омонимия не снята];NOUN;NOUN
приближающагося человѣка и сталъ опасаться,;как;"бы онъ не открылъ меня; къ ";1850;художественная;художественный;"Нѣсколько времени спустя, я услышалъ шаги осторожно приближающагося человѣка и сталъ опасаться, какъ бы онъ не открылъ меня; къ счастію, незнакомецъ вошелъ въ домъ чрезъ заднее окно, или, вѣрнѣе, отверстіе, потому что оно не имѣло ни стекла, ни рамки. [[Роукрофт Ч.]. Разсказы о колоніяхъ Вандименовой земли // «Современникъ», 1850] [омонимия не снята]";VERB;AUX
я не могу иначе, видеть,;как;моя дорогая лена мучается, и не ;1900;нехудожественная;публицистический;Но я не могу иначе, видеть, как моя дорогая Лена мучается, и не возбудить в ней надежды, оставить её в таком положении, это выше моих сил. [А. А. Аллендорф. Дневник (1902)] [омонимия не снята];VERB;ADJ
делу заседанию были допущены судом,;как;видно из его объяснительного рапорта, такие ;1870;нехудожественная;деловой;К судебному по этому делу заседанию были допущены судом, как видно из его объяснительного рапорта, такие свидетели, показания которых не только были признаны тем же судом не относящимися к делу, но и на приглашение коих в судебное заседание по статье 576 Уст. [[Александр II]. Указ его императорского величества самодержца всероссийского из правительствующего сената С.-Петербургскому окружному суду (1878)] [омонимия не снята];NOUN;AUX
добрый порядок и совершенство, где;как;возможно, с усмотрением.  ;1720;нехудожественная;деловой;5) Купечество и мануфактуры размножат ( сии мануфактуры разумеются не те, которые большие яко всякие, например: суконные, парчевые, также железные медные заводы и прочие сим подобные, но на ряду необходимо нужные, яко портные, сапожники, плотники, кузнецы, серебреники и им подобные), и в лучшее состояние производить, також и прочее, что к магистратской пользе принадлежит, приводить в добрый порядок и совершенство, где как возможно, с усмотрением.   [[Петр I]. Регламент или устав главного магистрата (1721)] [омонимия не снята];ADVB;AUX
она состоитъ равно;как;каждая изъ шести предыдущихъ тетрадей въ ;1790;нехудожественная;деловой;"Она состоитъ равно какъ каждая изъ шести предыдущихъ тетрадей въ 5 чисто раскрашенныхъ рисункахъ, на коихъ представлены слѣдующіе предмѣты: 6 четвероногихъ животныхъ доставляющихъ намъ красивые мѣха, какъ то: сѣверная Американская выдра, морская выдра, куница, соболь, горностай и бѣлка; 6 различныхъ медвѣжьихъ породъ, какъ то: темнобурой, черной и бѣлый медвѣдь, Американской ракунъ, барсукъ и россомаха или прожора; 4 достопамятные въ торговлѣ рыбы семга, тунецъ [[Издатели]. Повѣстка къ магазину для распространенія общеполезныхъ знаній и изобрѣтеній. № 2. февралъ 1795 // Магазинъ общеполезныхъ знаній и изобрѣтеній съ присовокупленіемъ моднаго журнала, раскрашенныхъ рисунковъ, и музыкальныхъ нотъ.Часть первая. cъ Генваря до Іюня, 1795] [омонимия не снята]";AUX;ADJ
ах,;как;бы мне хотелось его кончить!!!   ;1910;нехудожественная;публицистический;Ах, как бы мне хотелось его кончить!!!    [А. А. Аллендорф. Дневник (1918)] [омонимия не снята];TRSH;AUX
их трепетании в блистающем небе;как;бы плыли контуры строительных мачт над ;1940;художественная;художественный;В их трепетании в блистающем небе как бы плыли контуры строительных мачт над громадой дома, возводимого на Садовом кольце недалеко отсюда. [А. А. Бек. Талант (Жизнь Бережкова) / Части 1-3 (1940-1956)] [омонимия не снята];NOUN;AUX
