Left context;Center;Right context;Created;Type;Full context;Left_context_POS;Right_context_POS
ли мы́ в жёны мужика́м?; как ;у него́ язы́к поверну́лся / ухва́т ста́рый?   ;1940;художественный;ли мы́ в жёны мужика́м? Ка́к у него́ язы́к поверну́лся / ухва́т ста́рый?    [Александр Роу, Владимир Швейцер, Галина Владычина. Василиса Прекрасная, к/ф (1940)] [омонимия не снята];NOUN;PREP
пожа́луйста / не истолку́й на́ши отноше́ния; как ;вообще́ / лёгкую досту́пность ко мне́.  ;1979;художественный;То́лько ты́ / пожа́луйста / не истолку́й на́ши отноше́ния как вообще́ / лёгкую досту́пность ко мне́.   [Александр Адабашьян, Александр Володин, Никита Михалков. Пять вечеров, к/ф (1979)] [омонимия не снята];NOUN;UNKN
И заду́майтесь/; как ;э́то для на́с ва́жно.;2003;научный;И заду́майтесь/ ка́к э́то для на́с ва́жно. [cвященник Андрей Лоргус. О значении слова (2003) // http://tv.radonezh.ru/www/_radio/voprosi/lorgus/4-2003-02-19/100706301.mp3] [омонимия не снята];VERB;ADJS
И вот; как ;раз это / как Вы сказали… она / ;2006;публицистический;И вот как раз это / как Вы сказали… она / возможно / одна из самых счастливых участников здесь / на Чемпионате Европы / потому что накануне в короткой программе она заняла последнее выходящее двадцать четвёртое место / причем опередила фигуристку из Люксембурга / которая заняла двадцать пятое место / всего на семь сотых балла. [Александр Горелик, Николай Попов. Спортивный репортаж: фигурное катание. Чемпионат Европы. Женщины. Произвольная программа (19.01.2006). (2006) // Т/к «Спорт», прямой эфир] [омонимия не снята];PRCL;NOUN
вре́мя руководи́тель успе́шной компа́нии и..; как ;бы я́ охарактеризова́л? ;2013;разговорный;В настоя́щее вре́мя руководи́тель успе́шной компа́нии и.. ка́к бы я́ охарактеризова́л?  [Александр Оноприенко. Эволюционные тупики социосистемы (2013)] [омонимия не снята];CONJ;PRCL
спосо́бствовать нау́чному успе́ху экспеди́ции / та́к; как ;уча́стники её дости́гнут А́льфа Кассиопе́и в ;1973;художественный;Поэ́тому я́ счита́ю целесообра́зным сформирова́ть кома́нду корабля́ из ли́ц не ста́рше четы́рнадцати- пятна́дцати ле́т / что бу́дет спосо́бствовать нау́чному успе́ху экспеди́ции / та́к как уча́стники её дости́гнут А́льфа Кассиопе́и в расцве́те свои́х жи́зненных и тво́рческих си́л / то́ есть в во́зрасте около сорока́ ле́т.   [Авенир Зак, Исай Кузнецов, Ричард Викторов. Москва–Кассиопея / к/ф (1973)] [омонимия не снята];NOUN;NOUN
А; как ;тебя́ зову́т? ;1976;художественный;А ка́к тебя́ зову́т?  [Александр Вампилов, Виталий Мельников. Старший сын, к/ф (1976)] [омонимия не снята];CONJ;UNKN
ла́дно / дава́й- ка лу́чше поду́маем /; как ;убере́чь тебя́ от посто́в и карау́лов.  ;1976;художественный;Ну ла́дно / дава́й- ка лу́чше поду́маем / ка́к убере́чь тебя́ от посто́в и карау́лов.   [Александр Митта, Валерий Фрид, Юлий Дунский. Сказ про то, как царь Петр арапа женил, к/ф (1976)] [омонимия не снята];NOUN;VERB
а то́/ что э́то Илья́/; как ;бы ну то́/ что его́ прое́кт…  ;2013;научный;Табли́чку ви́дел/ а то́/ что э́то Илья́/ ка́к бы ну то́/ что его́ прое́кт…   [Александр Бречалов. Лекция о лидерах общественного мнения и молодежной политике в РАНХиГС (2013) // https://www.youtube.com/watch?v=CUkM4OhB4U8] [омонимия не снята];UNKN;PRCL
М… не по́мню; как ;она́ называ́лась / но напи́санная гора́здо ра́ньше / ;1981;научный;"М… не по́мню ка́к она́ называ́лась / но напи́санная гора́здо ра́ньше / где́ о́н соверше́нно не явля́ется ортодокса́льным "" щербе́нтом"" / та́к сказа́ть. [Р.И. Аванесов. Из истории Московской фонологической школы. Беседа с молодыми сотрудниками ИРЯ АН СССР (1981) // Фонотека ИРЯ им. В.В. Виноградова РАН / опубл.: Русский язык в научном освещении. №1 (9) 2005] [омонимия не снята]";VERB;UNKN
; как ;это? ;1972;художественный;Ка́к это?  [Александр Серый, Виктория Токарева, Георгий Данелия. Джентльмены удачи, к/ф (1972)] [омонимия не снята];;PRCL
Стои́т /; как ;пе́нь!   ;1954;художественный;Стои́т / как пе́нь!    [Александр Ивановский, Евгений Помещиков, Клиентий Минц, Надежда Кошеверова. Укротительница тигров, к/ф (1954)] [омонимия не снята];NOUN;NOUN
стать венцом карьеры любого волейболиста.; как ;раз в этом розыгрыше мы видели / ;2006;публицистический;стать венцом карьеры любого волейболиста. Как раз в этом розыгрыше мы видели / как простую подачу не смогли принять итальянцы / потом простейший мяч / несколько ошибок подряд совершают наши волейболисты. [Александр Еременко, Тарас Тимошенко. Спортивный репортаж: волейбол. Лига чемпионов. Мужчины. «Финал четырёх». 1 / 2 финала. «Сислей» (Италия) - «Динамо» (Россия) (25.03.2006) (2006) // Т/к «Спорт», непрямой эфир] [омонимия не снята];NOUN;NOUN
; как ;э́то / ты́ не по́мнишь / а́? ;1987;художественный;Ка́к э́то / ты́ не по́мнишь / а́?  [Александр Прошкин, Эдгар Дубровский. Холодное лето пятьдесят третьего, к/ф (1987)] [омонимия не снята];;ADJS
Кири́ла Петро́вич принима́л зна́ки подобостра́стия /; как ;надлежа́щую да́нь.  ;1935;художественный;Кири́ла Петро́вич принима́л зна́ки подобостра́стия / как надлежа́щую да́нь.   [Александр Ивановский, Александр Пушкин. Дубровский, к/ф (1935)] [омонимия не снята];NOUN;ADJF
Не зна́ете /; как ;рабо́тает?   ;2007;художественный;Не зна́ете / ка́к рабо́тает?    [Александр Новотоцкий-Власов, Владимир Моисеенко, Никита Михалков. Двенадцать, к/ф (2007)] [омонимия не снята];VERB;VERB
ну она́ ка́к-то воспринима́лась скоре́е; как ;о́бласть/ разрабо́танная в колло́идной хи́мии/ и ;2012;разговорный;А в полиме́рах/ ну на́до сказа́ть/ что да́же о́бласть/ кото́рая явля́ется фунда́ментом вообще́ нау́ки о ма̀кромоле́кулах/ о́бласть раство́ров полиме́ров/ ну она́ ка́к-то воспринима́лась скоре́е как о́бласть/ разрабо́танная в колло́идной хи́мии/ и поэ́тому ну счита́ли/ что раство́ры полиме́ров – ну э́то не́что тако́е/ как ве́твь норма́льной колло́идной хи́мии. [А.Б.Зезин, Т.В.Богатова. Беседа Т.В. Богатовой с А.Б. Зезиным (Вторая беседа) (2012) // http://oralhistory.ru/] [омонимия не снята];NOUN;NOUN
техническом штабе / тоже они  [нрзб]  того /; как ;игроки воплотят все дни / часы / месяцы ;2006;публицистический;То же самое можно сказать о динамовском техническом штабе / тоже они  [нрзб]  того / как игроки воплотят все дни / часы / месяцы тренировок / тактические установки именно в этот час / максимум два часа игры на этом стадионе / который ещё не совсем полон / но я думаю / ещё соберутся зрители / и завтра будет забит до отказа.   [Александр Еременко, Тарас Тимошенко. Спортивный репортаж: волейбол. Лига чемпионов. Мужчины. «Финал четырёх». 1 / 2 финала. «Сислей» (Италия) - «Динамо» (Россия) (25.03.2006) (2006) // Т/к «Спорт», непрямой эфир] [омонимия не снята];ADJF;NOUN
мое́й ка́ссе / вме́сто того́ / что́бы; как ;руководи́тель предприя́тия мобилизова́ть и возгла́вить ма́ссы ;1954;художественный;Сиде́ли в мое́й ка́ссе / вме́сто того́ / что́бы как руководи́тель предприя́тия мобилизова́ть и возгла́вить ма́ссы на ло́влю ти́гра!    [Александр Ивановский, Евгений Помещиков, Клиентий Минц, Надежда Кошеверова. Укротительница тигров, к/ф (1954)] [омонимия не снята];NOUN;NOUN
; как ;бы чё не унесли́!   ;1965;художественный;Ка́к бы чё не унесли́!    [Александр Гинцбург, Алексей Николаевич Толстой, Иосиф Маневич. Гиперболоид инженера Гарина, к/ф (1965)] [омонимия не снята];;PRCL
Ви́дел /; как ;дыми́л оди́н здо́рово / а во́т ка́к ;1973;художественный;Ви́дел / как дыми́л оди́н здо́рово / а во́т ка́к па́дал / не ви́дел.   [Александр Сацкий, Евгений Оноприенко, Леонид Быков. В бой идут одни «старики», к/ф (1973)] [омонимия не снята];VERB;VERB
А; как ;да́льше?   ;2002;художественный;А ка́к да́льше?    [Александр Рогожкин. Кукушка, к/ф (2002)] [омонимия не снята];CONJ;NOUN
У Ива́н Степа́ныча; как ;бу́дто ещё ма́ленькая…;1974;художественный;У Ива́н Степа́ныча как бу́дто ещё ма́ленькая… [Александр Володин, Сергей Герасимов. Дочки-матери, к/ф (1974)] [омонимия не снята];NOUN;ADJS
Для э́того меня́ посла́ли?; как ;ду́маешь / э́того расстреля́ют?   ;1964;художественный;Для э́того меня́ посла́ли? Ка́к ду́маешь / э́того расстреля́ют?    [Александр Власов, Александр Лейманис, Аркадий Млодик. Армия «Трясогузки», к/ф (1964)] [омонимия не снята];VERB;VERB
; как ;изве́стно / в де́нь шестѝдесятиле́тия Ро́бсона худо́жественный ;1979;художественный;Как изве́стно / в де́нь шестѝдесятиле́тия Ро́бсона худо́жественный сове́т консервато́рии присво́ил ему́ зва́ние почётного профе́ссора. [Александр Адабашьян, Александр Володин, Никита Михалков. Пять вечеров, к/ф (1979)] [омонимия не снята];;ADJS
Ну; как ;я могу́ спа́ть? ;2007;художественный;Ну ка́к я могу́ спа́ть?  [Александр Кириенко, Владимир Еремин, Светлана Рузинская. Инди, к/ф (2007)] [омонимия не снята];PRCL;NPRO
я́ ви́дел /; как ;оди́н молодо́й челове́к пла́кал под влия́нием ;1977;художественный;я́ ви́дел / ка́к… оди́н молодо́й челове́к пла́кал под влия́нием хоро́шей му́зыки. [Александр Адабашьян, Антон Чехов, Никита Михалков. Неоконченная пьеса для механического пианино, к/ф (1977)] [омонимия не снята];VERB;NOUN
посеща́ет ле́ктора в тако́й ситуа́ции/; как ;же ты́ вля́пался в таку́ю бодя́гу/ ;2013;разговорный;Гла́вная мы́сль/ кото́рая посеща́ет ле́ктора в тако́й ситуа́ции/ ка́к же ты́ вля́пался в таку́ю бодя́гу/ отвлека́ть люде́й свои́ми измышле́ниями.   [Александр Оноприенко. Эволюционные тупики социосистемы (2013)] [омонимия не снята];NOUN;PRCL
; как ;бу́дто бы.;1936;художественный;Как бу́дто бы. [Александр Зархи, Иосиф Хейфиц, Леонид Любашевский, Леонид Рахманов. Депутат Балтики, к/ф (1936)] [омонимия не снята];;ADJS
Ва́с не лю́бит оди́н челове́к?; как ;;1970;художественный;Ва́с не лю́бит оди́н челове́к? Ка́к?    [Александр Галич, Алексей Коренев, Константин Исаев. Вас вызывает Таймыр, к/ф (1970)] [омонимия не снята];NOUN;
или там на са́йт/ кото́рый; как ;бы  ;2013;разговорный;И пи́шет в основно́м/ ну́/ в сто́л или там на са́йт/ кото́рый ка́к бы   [Александр Оноприенко. Эволюционные тупики социосистемы (2013)] [омонимия не снята];ADJF;PRCL
Посмо́трим /; как ;на́с на но́вом ме́сте встре́тят.  ;1957;художественный;Посмо́трим / ка́к на́с на но́вом ме́сте встре́тят.   [Александр Зархи, Евгений Воробьев, Михаил Папава. Высота, к/ф (1957)] [омонимия не снята];VERB;NOUN
У́х / Ми́ш /; как ;жа́лко.  ;1938;художественный;У́х / Ми́ш / как жа́лко.   [Александр Медведкин. Новая Москва, к/ф (1938)] [омонимия не снята];NOUN;ADVB
; как ;вот / научи́ться / рабо́тать над свои́м языко́м? ;2003;разговорный;Ка́к вот / научи́ться / рабо́тать над свои́м языко́м?  [cвященник Андрей Лоргус. Ответы на вопросы слушателей радио «Радонеж» в прямом эфире (2003) // http://tv.radonezh.ru/www/_radio/voprosi/lorgus/4-2003-02-19/100706307.mp3] [омонимия не снята];;PRCL
В то вре́мя; как ;Ка̀рбофо́с успе́шно начина́ет опера́цию / Kолобки́ выхо́дят ;1983;художественный;В то вре́мя как Ка̀рбофо́с успе́шно начина́ет опера́цию / Kолобки́ выхо́дят на сле́д.   [Аида Зябликова, Александр Успенский. Следствие ведут Колобки (Похищение века), м/ф (1983)] [омонимия не снята];GRND;NOUN
к ни́м на́до относи́ться действи́тельно; как ;к таки́м молекуля́рным/ ма̀кромолекуля́рным систе́мам/ диспе́рсность ;2012;разговорный;Ну и Валенти́н Алексе́евич употреби́л таки́е о́чень серьёзные уси́лия для того́/ что́бы убеди́ть соо́бщество полиме́рное/ и росси́йское/ и мирово́е/ в то́м/ что раство́ры полиме́ров – э́то норма́льные систе́мы/ норма́льные раство́ры/ со все́м ко́мплексом прису́щих и́м сво́йств/ и что к ни́м на́до относи́ться действи́тельно как к таки́м молекуля́рным/ ма̀кромолекуля́рным систе́мам/ диспе́рсность кото́рых определя́ется разме́рами или молекуля́рными ма́ссами растворённых моле́кул. [А.Б.Зезин, Т.В.Богатова. Беседа Т.В. Богатовой с А.Б. Зезиным (Вторая беседа) (2012) // http://oralhistory.ru/] [омонимия не снята];ADJS;PREP
мо́жет бы́ть лю/ ту́т и лю любо́вь /; как ;ра́з / и была́ / погребена́ по́д / грехо́м.;2002;разговорный;Э́то / ча́сто происхо́дит с людьми́ / во-пе́рвых потому́ что / мо́жет бы́ть пе́рвые чу́вства бы́ли и не о́чень про́чными / а мо́жет бы́ть лю/ ту́т и лю любо́вь / как ра́з / и была́ / погребена́ по́д / грехо́м. [cвященник Андрей Лоргус. Ответы на вопросы слушателей радио «Радонеж» в прямом эфире (2002) // http://tv.radonezh.ru/www/_radio/voprosi/lorgus/2-2002-09-04/100706111.mp3] [омонимия не снята];VERB;NOUN
О́х /; как ;ты́ си́льно пло́хо ду́маешь.;1965;художественный;О́х / ка́к ты́ си́льно пло́хо ду́маешь. [Александр Володин, Александр Митта. Звонят, откройте дверь, к/ф (1965)] [омонимия не снята];UNKN;UNKN
А вы́; как ;воева́ть… или к сро́дственникам?   ;1944;художественный;А вы́ ка́к / воева́ть… или к сро́дственникам?    [Александр Зархи, Борис Войтехов, Иосиф Хейфиц. Малахов курган, к/ф (1944)] [омонимия не снята];UNKN;UNKN
И; как ;торпе́да / о́н пойдёт наве́рх?   ;2003;художественный;И как торпе́да / о́н пойдёт наве́рх?    [Александр Покровский, Валерий Залотуха, Владимир Хотиненко. 72 метра, к/ф (2003)] [омонимия не снята];CONJ;NOUN
; как ;бы́ло бы хорошо́ встре́тить свою́ сме́рть ;2002;разговорный;Ка́к бы́ло бы хорошо́ встре́тить свою́ сме́рть э́тими слова́ми. [cвященник Андрей Лоргус. Ответы на вопросы слушателей радио «Радонеж» в прямом эфире (2002) // http://tv.radonezh.ru/www/_radio/voprosi/lorgus/1-2002-07-31/100706004.mp3] [омонимия не снята];;VERB
Но; как ;тогда́ мо́жно уви́деть лю́дям со стороны́/ ;2002;научный;Но ка́к тогда́ мо́жно уви́деть лю́дям со стороны́/ что христиа́не обраща́ются дру́г к дру́гу с любо́вью?  [cвященник Андрей Лоргус. О любви в Новом завете (2002) // http://tv.radonezh.ru/www/_radio/voprosi/lorgus/1-2002-07-31/100706001.mp3] [омонимия не снята];CONJ;UNKN
вот э́той са́мой руса́лочке сту́кнуло /; как ;говори́тся / пятна́дцать…  ;1968;художественный;И́… то́лько вот э́той са́мой руса́лочке сту́кнуло / как говори́тся / пятна́дцать…   [Александр Галич, Ганс-Христиан Андерсен, Иван Аксенчук. Русалочка, м/ф (1968)] [омонимия не снята];VERB;VERB
Е́сли ты́ прити́х; как ;мы́шь / Зна́чит / да́льше побежи́шь? ;2005;художественный;Е́сли ты́ прити́х как мы́шь / Зна́чит / да́льше побежи́шь?  [Александр Миндадзе, Алексей Учитель. Космос как предчувствие, к/ф (2005)] [омонимия не снята];NOUN;VERB
Во́т; как ;;1935;художественный;Во́т ка́к?  [Александр Птушко, Самуил Болотин, Серафима Рошаль. Новый Гулливер, к/ф (1935)] [омонимия не снята];NOUN;
Они́ произошли́ то́тчас /; как ;то́лько Христо́с / на́чал пропове́довать / то́тчас как ;2002;разговорный;Они́ произошли́ то́тчас / как то́лько Христо́с / на́чал пропове́довать / то́тчас как христиа́нство ста́ло расширя́ться / и це́рковь устана́вливалась на земле́. [cвященник Андрей Лоргус. Ответы на вопросы слушателей радио «Радонеж» в прямом эфире (2002) // http://tv.radonezh.ru/www/_radio/voprosi/lorgus/2-2002-09-04/100706110.mp3] [омонимия не снята];NOUN;NOUN
 Ка́к?; как ;;2004;художественный;Ка́к? Ка́к?    [Александр Бородянский, Карен Шахназаров. Всадник по имени Смерть, к/ф (2004)] [омонимия не снята];NOUN;
Ну́ / у бе́дного за́йца /; как ;ви́дно / дово́льно реши́тельные друзья́.;1940;художественный;Ну́ / у бе́дного за́йца / как ви́дно / дово́льно реши́тельные друзья́. [Александр Мачерет, Юрий Олеша. Ошибка инженера Кочина, к/ф (1940)] [омонимия не снята];NOUN;NOUN
; как ;относи́ться к челове́ку / кото́рый постоя́нно / тебя́ ;2002;разговорный;Как относи́ться к челове́ку / кото́рый постоя́нно / тебя́ предаёт?    [cвященник Андрей Лоргус. Ответы на вопросы слушателей радио «Радонеж» в прямом эфире (2002) // http://tv.radonezh.ru/www/_radio/voprosi/lorgus/2-2002-09-04/100706107.mp3] [омонимия не снята];;INFN
Э́то; как ;называ́ется?   ;1979;художественный;Э́то ка́к называ́ется?    [Александр Володин, Георгий Данелия. Осенний марафон, к/ф (1979)] [омонимия не снята];ADJS;VERB
Ну; как ;ты́ де́лаешь батма́н! ;1985;художественный;Ну ка́к ты́ де́лаешь батма́н!  [Александр Бородянский, Карен Шахназаров. Зимний вечер в Гаграх, к/ф (1985)] [омонимия не снята];PRCL;UNKN
Снача́ла о́н с ни́м говори́т; как ;с зако́нником « Ты́ ли не зна́ешь ;2002;разговорный;Снача́ла о́н с ни́м говори́т как с зако́нником « Ты́ ли не зна́ешь того́ о чём Я́ до́лжен тебе́ сказа́ть?»  [cвященник Андрей Лоргус. Ответы на вопросы слушателей радио «Радонеж» в прямом эфире (2002) // http://tv.radonezh.ru/www/_radio/voprosi/lorgus/1-2002-07-31/100706003.mp3] [омонимия не снята];NOUN;PREP
Тебя́; как ;зва́ть- то?   ;1979;художественный;Тебя́ ка́к зва́ть- то?    [Александр Вампилов, Виталий Мельников. Отпуск в сентябре, к/ф (1979)] [омонимия не снята];UNKN;INFN
Вы́ не представля́ете /; как ;я́ из-за э́того страда́ю.  ;1996;художественный;Вы́ не представля́ете / ка́к я́ из-за э́того страда́ю.   [Александр Рогожкин. Операция С Новым Годом, к/ф (1996)] [омонимия не снята];VERB;UNKN
О́й /; как ;зи́ть охо́та! ;1983;художественный;О́й / как зи́ть охо́та!  [Александр Татарский, Сергей Иванов. Падал прошлогодний снег, м/ф (1983)] [омонимия не снята];UNKN;INFN
хочу́ взя́ть у него́ име́ние?; как ;ты́ про то́ ду́маешь?   ;1935;художественный;хочу́ взя́ть у него́ име́ние? Ка́к ты́ про то́ ду́маешь?    [Александр Ивановский, Александр Пушкин. Дубровский, к/ф (1935)] [омонимия не снята];NOUN;UNKN
Ты́ расскажи́ лу́чше /; как ;вы́ тут без меня́ живёте!   ;1979;художественный;Ты́ расскажи́ лу́чше / ка́к вы́ тут без меня́ живёте!    [Александр Митта, Борис Уриновский, Валерий Фрид, Юлий Дунский. Экипаж, к/ф (1979)] [омонимия не снята];NOUN;UNKN
Ве́сь ми́р следи́т / затаи́в дыха́ние /; как ;она́ ло́вит Со́лнце!   ;1947;художественный;Ве́сь ми́р следи́т / затаи́в дыха́ние / ка́к она́ ло́вит Со́лнце!    [Александр Раскин, Григорий Александров, Морис Слободской. Весна, к/ф (1947)] [омонимия не снята];NOUN;UNKN
закрыва́я от себя́ Ева́нгелие/ мы́; как ;бы затыка́ем у́ши.;2002;разговорный;О́чень ча́сто лю́ди жа́луются на то́/ что не успева́ют прочита́ть пра́вило/ что не успева́ют прочита́ть моли́тву/ но гора́здо ре́же мы́ жа́луемся на то́/ что не чита́ли Ева́нгелие/ а ведь закрыва́я от себя́ Ева́нгелие/ мы́ как бы затыка́ем у́ши. [cвященник Георгий Чистяков. Вознесение Господне (2002) // http://predanie.ru/chistyakov-georgiy-ierey/audio/242488-propoved-05-06-2002/] [омонимия не снята];UNKN;PRCL
"Те́ма на́шей ле́кции- бесе́ды "" Интерне́т"; как ;"элеме́нт Пути́"".";2001;научный;"Те́ма на́шей ле́кции- бесе́ды "" Интерне́т как элеме́нт Пути́"". [Александр Клейн. Лекция А. Клейна «Интернет как элемент Пути», Москва (2001) // Интернет] [омонимия снята]";NOUN;NOUN
Что́ ты́ /; как ;мо́жно сна́м не ве́рить?   ;1964;художественный;Что́ ты́ / ка́к мо́жно сна́м не ве́рить?    [Александр Островский, Константин Воинов. Женитьба Бальзаминова, к/ф (1964)] [омонимия не снята];UNKN;ADJS
; как ;в журна́ле « Бью́ти» / « До́льче и Габба́на».;2007;художественный;Как в журна́ле « Бью́ти» / « До́льче и Габба́на». [Авдотья Смирнова, Андрей Михалков-Кончаловский. Глянец, к/ф (2007)] [омонимия не снята];;PREP
Ведь на́м необходи́м /; как ;во́здух / необходи́м / та́к сказа́ть / запа́с жи́зненных ;1962;художественный;Ведь на́м необходи́м / как во́здух / необходи́м / та́к сказа́ть / запа́с жи́зненных наблюде́ний.   [Александр Зархи, Василий Аксенов, Владимир Семаков, Михаил Анчаров. Мой младший брат, к/ф (1962)] [омонимия не снята];NOUN;NOUN
Вот тебя́; как ;бы… забо́ты ра́но из до́ма гоня́ть.;1967;художественный;Вот тебя́ ка́к бы… забо́ты ра́но из до́ма гоня́ть. [Александр Борщаговский, Татьяна Лиознова. Три тополя на Плющихе, к/ф (1967)] [омонимия не снята];UNKN;UNKN
Ну; как ;мы себя́ сёдня чу́вствуем? ;1988;художественный;Ну ка́к мы себя́ сёдня чу́вствуем?  [Александр Баранов, Бахыт Килибаев, Рашид Нугманов. Игла, к/ф (1988)] [омонимия не снята];PRCL;NPRO
; как ;же э́то? ;1984;художественный;Ка́к же э́то?  [Александр Островский, Эльдар Рязанов. Жестокий романс, к/ф (1984)] [омонимия не снята];;PRCL
отвлечённо / даю́ тебе́ сло́во / не; как ;вожа́тому.;1965;художественный;В да́нном слу́чае мне́ интере́сно чи́сто отвлечённо / даю́ тебе́ сло́во / не ка́к вожа́тому. [Александр Володин, Александр Митта. Звонят, откройте дверь, к/ф (1965)] [омонимия не снята];PRCL;NOUN
Э́… Прости́те / не расслы́шал?; как ;;1936;художественный;Э́… Прости́те / не расслы́шал? Ка́к?    [Александр Зархи, Иосиф Хейфиц, Леонид Любашевский, Леонид Рахманов. Депутат Балтики, к/ф (1936)] [омонимия не снята];VERB;
Это была; как ;раз Светлана Покатилова / предложила встретиться.;2000-2004;художественный;Это была как раз Светлана Покатилова / предложила встретиться. [Александр Филатов. Радиопрограмма «Полнолуние» о ролевой музыке, «Радио-Пик» (2000-2004) // Из коллекции НКРЯ] [омонимия не снята];VERB;NOUN
; как ;у тя́?   ;2002;художественный;Ка́к у тя́?    [Александра Большакова, Руслан Бальтцер. Даже не думай, к/ф (2002)] [омонимия не снята];;PREP
А; как ;уйти́? ;1953;художественный;А ка́к уйти́?  [Александр Штейн, Михаил Ромм. Адмирал Ушаков, к/ф (1953)] [омонимия не снята];CONJ;UNKN
Вспо́мните; как ;Госпо́дь говори́т / « Ста́ньте ка́к / де́ти».;2002;разговорный;Вспо́мните как Госпо́дь говори́т / « Ста́ньте ка́к / де́ти». [cвященник Андрей Лоргус. Ответы на вопросы слушателей радио «Радонеж» в прямом эфире (2002) // http://tv.radonezh.ru/www/_radio/voprosi/lorgus/2-2002-09-04/100706109.mp3] [омонимия не снята];VERB;NOUN
Ну; как ;Афроди́та / Бегемо́т / Аполло́н… я́ не по́мню…  ;1954;художественный;Ну ка́к / Афроди́та / Бегемо́т / Аполло́н… я́ не по́мню…   [Александр Галич, Константин Исаев, Михаил Калатозов. Верные друзья, к/ф (1954)] [омонимия не снята];PRCL;NOUN
Повторя́ю / разгони́сь; как ;сле́дует и взлета́й! ;1986;художественный;Повторя́ю / разгони́сь как сле́дует и взлета́й!  [Александр Татарский, Альберт Иванов, Игорь Ковалев. Крылья, ноги и хвосты, м/ф (1986)] [омонимия не снята];VERB;VERB
Слу́шай?; как ;я́ пе́ла? ;1978;художественный;Слу́шай? Ка́к я́ пе́ла?  [Александр Орлов, Анатолий Степанов. Женщина, которая поет, к/ф (1978)] [омонимия не снята];VERB;UNKN
; как ;уе́хать? ;1988;художественный;Ка́к уе́хать?  [Александр Сокуров, Аркадий Стругацкий, Борис Стругацкий, Юрий Арабов. Дни затмения, к/ф (1988)] [омонимия не снята];;INFN
